iso3,country,profile_label,profile_stability_score,profile_stability_probability,conversion_efficiency_zscore,conversion_efficiency_ci_low,conversion_efficiency_ci_high,observed_shock_burden,predicted_shock_burden,expected_shock_burden,realized_resilience_gap,potential_capacity_score,capacity_block_score,preparedness_block_score,vulnerability_block_score,equity_access_block_score,main_bottleneck_block,bottleneck_probability,missingness_rate,validation_outcomes_available,country_label_category,label_stability_rate,diagnostic_note,n,coverage_count,missing_count,missing_rate,source_provenance,asset_source_files
FIN,Finland,effective converters,1.0,1.0,1.095261278939026,0.713380102183632,1.393358400850968,1876.0293,3636.311748378223,3636.311748378223,-1760.282448378223,0.8177702742189719,0.7847361384939117,0.9205143361449236,0.7855510164736608,0.7802796057633915,preparedness,0.373,0.0769230769230769,OWID excess mortality; life expectancy loss,stable effective converter,1.0,"Diagnostic profile: effective converters; weakest observed block is equity/access; main bottleneck signal is preparedness. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
MEX,Mexico,structurally vulnerable systems,1.0,1.0,-1.486708186644193,-1.7469204572375403,-1.1439537556836057,5406.9375,3017.5292582103425,3017.5292582103425,2389.408241789657,0.6295156707444782,0.2638600782104646,0.834289803866633,0.6905645268805292,0.729348274020286,capacity,1.0,0.0,OWID excess mortality; life expectancy loss,stable structurally vulnerable,1.0,"Diagnostic profile: structurally vulnerable systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
PER,Peru,structurally vulnerable systems,1.0,1.0,-1.4011048502138164,-1.684527128357706,-1.0395970638457153,5901.3433,3649.5150617570553,3649.5150617570553,2251.828238242945,0.6056794177274751,0.219058315884222,0.7904545559187894,0.7070732519612428,0.7061315471456461,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,stable structurally vulnerable,1.0,"Diagnostic profile: structurally vulnerable systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
BOL,Bolivia,structurally vulnerable systems,1.0,1.0,-1.325734067260284,-1.7146621914767306,-0.6510953034568192,5224.8447,3094.1509060260496,3094.1509060260496,2130.69379397395,0.566427958565157,0.2527398762657427,0.7729294989041062,0.619314310713776,0.6207281483770031,preparedness,1.0,0.0,OWID excess mortality; life expectancy loss,stable structurally vulnerable,1.0,"Diagnostic profile: structurally vulnerable systems; weakest observed block is capacity; main bottleneck signal is preparedness. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
PRY,Paraguay,structurally vulnerable systems,1.0,1.0,-0.662493602753887,-1.0363604191803184,-0.3064475761643777,4178.656,3113.909273794001,3113.909273794001,1064.746726205999,0.6200103143941642,0.2308564778967678,0.8269696833764881,0.7383300460921496,0.683885050211251,capacity,1.0,0.0,OWID excess mortality; life expectancy loss,stable structurally vulnerable,1.0,"Diagnostic profile: structurally vulnerable systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
PSE,West Bank and Gaza,adaptive over-performers,0.96,0.96,0.4050347160567432,-0.0510873580578508,0.9009079924172012,922.9372,1573.9010525240276,1573.9010525240276,-650.9638525240276,0.6587017614512714,0.3176807706933734,0.9877450980392156,0.6045379500737209,0.7248432269987758,vulnerability,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,evidence-dependent label,0.3333333333333333,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
DZA,Algeria,structurally vulnerable systems,0.557,0.557,-0.0257879676045457,-0.4546107075665642,0.3245972427435784,2952.565,2911.11908419295,2911.11908419295,41.44591580704992,0.6490773240471281,0.2542673301460795,0.8443272353045255,0.7553194495008495,0.7423952812370581,capacity,1.0,0.0,OWID excess mortality; life expectancy loss,evidence-dependent label,0.3333333333333333,"Diagnostic profile: structurally vulnerable systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
MNG,Mongolia,adaptive over-performers,1.0,1.0,2.432192655157404,1.6512994699080343,3.2228075109870584,211.21863,4120.190967719567,4120.190967719567,-3908.9723377195673,0.6032546228987976,0.4314765764284001,0.7677104522967445,0.5775556570056546,0.6362758058643913,vulnerability,1.0,0.0,OWID excess mortality; life expectancy loss,evidence-dependent label,0.6666666666666666,"Diagnostic profile: adaptive over-performers; weakest observed block is capacity; main bottleneck signal is vulnerability. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
CHL,Chile,capacity under-realizers,1.0,1.0,-0.4843600852495627,-0.8174899512977302,-0.1292052365520603,3120.594,2342.1399697564534,2342.1399697564534,778.4540302435466,0.6982007888708822,0.4368623179100732,0.9197557906003184,0.7529887957924098,0.6831962511807274,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,evidence-dependent label,0.6666666666666666,"Diagnostic profile: capacity under-realizers; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
ATG,Antigua and Barbuda,uncertain / data-limited systems,1.0,1.0,1.1536533611423352,0.5959162739344914,1.546971530962129,-654.30273,1199.8263277701965,1199.8263277701965,-1854.129057770196,0.7115913123640994,0.3794933092931326,0.9106087451409915,0.768588140659134,0.7876750543631399,capacity,1.0,0.0384615384615384,OWID excess mortality; life expectancy loss,data-limited,1.0,"Diagnostic profile: uncertain / data-limited systems; weakest observed block is capacity; main bottleneck signal is capacity. Descriptive only, no causal claim.",24,24,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_efficiency_scores.csv;results/tables/conversion_efficiency_uncertainty.csv;results/tables/stage4_country_label_stability.csv,results/tables/stage4_stable_case_audit.csv
