iso3,country,observed_shock_burden,oof_predicted_ridge_mean_over_repeats,oof_predicted_ridge_repeat1,pi80_low,pi80_high,pi95_low,pi95_high,covered_80,covered_95
CAN,Canada,1420.5111,2634.215313238597,2579.3176145619805,391.9507603428974,4766.6844687810635,-1161.9428166644188,6320.578045788379,True,True
NLD,Netherlands,2329.8596,3244.8638465235044,3096.2827223015693,920.9309205782488,5271.63452402489,-502.0927845928595,6694.6582291959985,True,True
MDV,Maldives,1109.1743,-99.10447655761423,-152.67155880446217,-2397.7996882912303,2092.456570682306,-3693.4370564573355,3388.093938848411,True,True
GBR,United Kingdom,2703.8333,3074.6660923358336,3125.393505047601,880.265375560833,5370.521634534369,-415.3719926052722,6666.159002700475,True,True
ESP,Spain,2906.9697,3264.1638808480498,3252.730062420456,1007.6019329336877,5497.858191907224,-288.0354352324175,6793.495560073329,True,True
SVK,Slovak Republic,5343.659,3044.420732762369,3038.043973185361,810.7713702975957,5265.316576073126,-603.4960093791656,6679.5839557498875,False,True
PRT,Portugal,2965.186,3765.2143224042275,3966.0426988536888,1778.6758446346057,6153.409553072772,224.78226762728946,7707.3031300800885,True,True
HRV,Croatia,5616.296,3947.1203536186977,3815.807212539048,1702.0542749764181,5929.560150101678,342.9162412411565,7288.698183836939,True,True
AND,Andorra,1773.4039,2424.4709776674495,2356.286938015339,180.93513629201834,4531.638739738659,-1242.08856887909,5954.662444909767,True,True
ITA,Italy,4042.4766,3690.3741687634465,3360.8837089184867,1247.1307713558567,5474.636646481116,-112.00726237940489,6833.774680216378,True,True
URY,Uruguay,2126.0981,2903.446680378741,3114.549196146749,869.4210666599811,5359.677325633517,-426.2163015061242,6655.314693799623,True,True
BLR,Belarus,9591.885,4420.180601985531,4310.2398045954815,2134.888002872161,6485.5916063188015,711.8642977010527,7908.61531148991,False,False
QAT,Qatar,519.23267,-385.1949045644359,-213.71531915941978,-2327.46825672205,1900.0376184032102,-3686.6062904573114,3259.175652138472,True,True
ISR,Israel,1356.6249,1422.4775411278558,1376.438981576809,-868.689147909959,3621.567111063577,-2164.3265160760643,4917.204479229682,True,True
MLT,Malta,1495.4257,2666.121840859336,2331.548144442563,217.79520687993318,4445.301082005193,-1141.3428268553284,5804.439115740455,True,True
HUN,Hungary,4209.2827,4384.9186291225,4565.828651486385,2378.461797267302,6753.195505705467,824.5682202599855,8307.089082712784,True,True
ARG,Argentina,4112.5483,3099.471307397563,3401.125888499065,1173.8532856112993,5628.39849138683,-240.414094065462,7042.665871063591,True,True
ARE,United Arab Emirates,607.97754,-360.7541160726667,-435.6743049489264,-2680.8024344356945,1809.4538245378417,-3976.4398026018,3105.091192703947,True,True
KWT,Kuwait,1601.9636,292.58922836498283,400.82424853387715,-1826.4483543538884,2628.096851421643,-3240.7157340306494,4042.364231098404,True,True
POL,Poland,4447.032,3665.0194802806022,3706.139625193381,1461.011495706613,5951.26775468015,165.37412754050774,7246.905122846254,True,True
GRC,Greece,3676.7937,4253.619197302254,4058.65774793198,1831.3851450442144,6285.930350819745,417.1177653674531,7700.197730496507,True,True
OMN,Oman,958.591,1116.5133960349117,951.1311129687579,-1276.1414899190077,3178.4037158565234,-2690.408869595769,4592.671095533285,True,True
CRI,Costa Rica,1545.6193,1377.264442949774,943.0041926716026,-1170.7487448910274,3056.7571302342326,-2529.886778626289,4415.895163969494,True,True
BRN,Brunei Darussalam,1141.6431,277.7661222563548,279.2576301345566,-1896.0941715887639,2454.609431857877,-3319.117876759872,3877.6331370289854,True,True
EST,Estonia,3296.8997,4316.753805081658,4183.436546833428,2069.683609270798,6297.189484396058,710.5455755355365,7656.32751813132,True,True
KOR,"Korea, Rep.",1248.7174,1743.067034444982,1864.8669366408808,-322.49991757820226,4052.233790859964,-1876.3934945855185,5606.127367867281,True,True
LTU,Lithuania,8358.042,4517.457736868966,4601.725460593926,2487.972523031296,6715.478398156556,1128.8344892960345,8074.616431891818,False,False
ATG,Antigua and Barbuda,-654.30273,1413.239853381882,1404.5241078660692,-782.8427463530138,3591.8909620851523,-2336.73632336033,5145.784539092469,True,True
COL,Colombia,3685.9177,2321.7215537944785,2174.272711220705,-1.0790905026155997,4349.624512944025,-1424.102795673724,5772.648218115133,True,True
