scheme,iso3,flip_rate,modal_profile,country,conversion_profile,modal_equals_baseline
block_only_flat,ECU,0.346,structurally vulnerable systems,Ecuador,structurally vulnerable systems,True
block_only_flat,EGY,0.052000000000000046,structurally vulnerable systems,"Egypt, Arab Rep.",structurally vulnerable systems,True
block_only_flat,ESP,0.040000000000000036,capacity under-realizers,Spain,capacity under-realizers,True
block_only_flat,EST,0.246,capacity under-realizers,Estonia,capacity under-realizers,True
block_only_flat,FIN,0.0,effective converters,Finland,effective converters,True
block_only_flat,FJI,0.236,adaptive over-performers,Fiji,adaptive over-performers,True
block_only_flat,FRA,0.03400000000000003,effective converters,France,effective converters,True
block_only_flat,GBR,0.0020000000000000018,capacity under-realizers,United Kingdom,capacity under-realizers,True
block_only_flat,GEO,0.0,uncertain / data-limited systems,Georgia,uncertain / data-limited systems,True
block_only_flat,GRC,0.0,uncertain / data-limited systems,Greece,uncertain / data-limited systems,True
block_only_flat,GTM,0.0,adaptive over-performers,Guatemala,adaptive over-performers,True
block_only_flat,HRV,0.06799999999999995,capacity under-realizers,Croatia,capacity under-realizers,True
block_only_flat,HUN,0.24,capacity under-realizers,Hungary,capacity under-realizers,True
block_only_flat,IRL,0.0,effective converters,Ireland,effective converters,True
block_only_flat,IRN,0.498,structurally vulnerable systems,"Iran, Islamic Rep.",structurally vulnerable systems,True
block_only_flat,ISL,0.04600000000000004,effective converters,Iceland,effective converters,True
block_only_flat,ISR,0.0,effective converters,Israel,effective converters,True
block_only_flat,ITA,0.17200000000000004,capacity under-realizers,Italy,capacity under-realizers,True
block_only_flat,JAM,0.0,adaptive over-performers,Jamaica,adaptive over-performers,True
block_only_flat,JOR,0.0,uncertain / data-limited systems,Jordan,uncertain / data-limited systems,True
block_only_flat,JPN,0.01200000000000001,effective converters,Japan,effective converters,True
block_only_flat,KAZ,0.43400000000000005,capacity under-realizers,Kazakhstan,capacity under-realizers,True
block_only_flat,KGZ,0.0,adaptive over-performers,Kyrgyz Republic,adaptive over-performers,True
block_only_flat,KNA,0.20799999999999996,structurally vulnerable systems,St. Kitts and Nevis,structurally vulnerable systems,True
block_only_flat,KOR,0.378,effective converters,"Korea, Rep.",effective converters,True
block_only_flat,KWT,0.15800000000000003,capacity under-realizers,Kuwait,capacity under-realizers,True
block_only_flat,LBN,0.0,structurally vulnerable systems,Lebanon,structurally vulnerable systems,True
block_only_flat,LTU,0.0,uncertain / data-limited systems,Lithuania,uncertain / data-limited systems,True
block_only_flat,LUX,0.0,effective converters,Luxembourg,effective converters,True
block_only_flat,LVA,0.0,uncertain / data-limited systems,Latvia,uncertain / data-limited systems,True
block_only_flat,MDA,0.0,uncertain / data-limited systems,Moldova,uncertain / data-limited systems,True
block_only_flat,MDV,0.0,capacity under-realizers,Maldives,capacity under-realizers,True
block_only_flat,MEX,0.0,structurally vulnerable systems,Mexico,structurally vulnerable systems,True
block_only_flat,MKD,0.35,structurally vulnerable systems,North Macedonia,structurally vulnerable systems,True
block_only_flat,MLT,0.0,uncertain / data-limited systems,Malta,uncertain / data-limited systems,True
block_only_flat,MNE,0.0,uncertain / data-limited systems,Montenegro,uncertain / data-limited systems,True
block_only_flat,MNG,0.0,adaptive over-performers,Mongolia,adaptive over-performers,True
block_only_flat,MUS,0.0,uncertain / data-limited systems,Mauritius,uncertain / data-limited systems,True
block_only_flat,MYS,0.07599999999999996,adaptive over-performers,Malaysia,adaptive over-performers,True
block_only_flat,NAM,0.0,adaptive over-performers,Namibia,adaptive over-performers,True
block_only_flat,NIC,0.0,uncertain / data-limited systems,Nicaragua,uncertain / data-limited systems,True
block_only_flat,NLD,0.11599999999999999,effective converters,Netherlands,effective converters,True
block_only_flat,NOR,0.0,effective converters,Norway,effective converters,True
block_only_flat,NZL,0.0020000000000000018,effective converters,New Zealand,effective converters,True
block_only_flat,OMN,0.0,uncertain / data-limited systems,Oman,uncertain / data-limited systems,True
block_only_flat,PAN,0.28,structurally vulnerable systems,Panama,structurally vulnerable systems,True
block_only_flat,PER,0.01200000000000001,structurally vulnerable systems,Peru,structurally vulnerable systems,True
block_only_flat,PHL,0.23199999999999998,adaptive over-performers,Philippines,adaptive over-performers,True
block_only_flat,POL,0.09399999999999997,capacity under-realizers,Poland,capacity under-realizers,True
block_only_flat,PRT,0.16200000000000003,capacity under-realizers,Portugal,capacity under-realizers,True
block_only_flat,PRY,0.08599999999999997,structurally vulnerable systems,Paraguay,structurally vulnerable systems,True
block_only_flat,PSE,0.24,adaptive over-performers,West Bank and Gaza,adaptive over-performers,True
block_only_flat,QAT,0.26,capacity under-realizers,Qatar,capacity under-realizers,True
block_only_flat,ROU,0.45999999999999996,capacity under-realizers,Romania,capacity under-realizers,True
block_only_flat,RUS,0.0,uncertain / data-limited systems,Russian Federation,uncertain / data-limited systems,True
block_only_flat,SGP,0.0,uncertain / data-limited systems,Singapore,uncertain / data-limited systems,True
block_only_flat,SLV,0.0,adaptive over-performers,El Salvador,adaptive over-performers,True
block_only_flat,SMR,0.0,uncertain / data-limited systems,San Marino,uncertain / data-limited systems,True
block_only_flat,SRB,0.0,uncertain / data-limited systems,Serbia,uncertain / data-limited systems,True
block_only_flat,SUR,0.10599999999999998,adaptive over-performers,Suriname,adaptive over-performers,True
block_only_flat,SVK,0.0,capacity under-realizers,Slovak Republic,capacity under-realizers,True
block_only_flat,SVN,0.0,capacity under-realizers,Slovenia,capacity under-realizers,True
block_only_flat,SWE,0.0,effective converters,Sweden,effective converters,True
block_only_flat,SYC,0.0,uncertain / data-limited systems,Seychelles,uncertain / data-limited systems,True
block_only_flat,THA,0.0,uncertain / data-limited systems,Thailand,uncertain / data-limited systems,True
block_only_flat,TJK,0.008000000000000007,adaptive over-performers,Tajikistan,adaptive over-performers,True
block_only_flat,TUN,0.512,capacity under-realizers,Tunisia,structurally vulnerable systems,False
block_only_flat,TUR,0.0,uncertain / data-limited systems,Turkiye,uncertain / data-limited systems,True
block_only_flat,UKR,0.0,uncertain / data-limited systems,Ukraine,uncertain / data-limited systems,True
block_only_flat,URY,0.10799999999999998,effective converters,Uruguay,effective converters,True
block_only_flat,USA,0.22799999999999998,capacity under-realizers,United States,capacity under-realizers,True
block_only_flat,UZB,0.18400000000000005,adaptive over-performers,Uzbekistan,adaptive over-performers,True
block_only_flat,VCT,0.33199999999999996,adaptive over-performers,St. Vincent and the Grenadines,adaptive over-performers,True
block_only_flat,ZAF,0.0,uncertain / data-limited systems,South Africa,uncertain / data-limited systems,True
dirichlet_flat,ALB,0.30600000000000005,structurally vulnerable systems,Albania,structurally vulnerable systems,True
dirichlet_flat,AND,0.030000000000000027,effective converters,Andorra,effective converters,True
dirichlet_flat,ARE,0.242,capacity under-realizers,United Arab Emirates,capacity under-realizers,True
dirichlet_flat,ARG,0.256,capacity under-realizers,Argentina,capacity under-realizers,True
dirichlet_flat,ARM,0.0,uncertain / data-limited systems,Armenia,uncertain / data-limited systems,True
dirichlet_flat,ATG,0.0,uncertain / data-limited systems,Antigua and Barbuda,uncertain / data-limited systems,True
dirichlet_flat,AUS,0.010000000000000009,effective converters,Australia,effective converters,True
dirichlet_flat,AUT,0.06399999999999995,capacity under-realizers,Austria,capacity under-realizers,True
dirichlet_flat,AZE,0.256,adaptive over-performers,Azerbaijan,adaptive over-performers,True
dirichlet_flat,BEL,0.06399999999999995,effective converters,Belgium,effective converters,True
dirichlet_flat,BGR,0.0,uncertain / data-limited systems,Bulgaria,uncertain / data-limited systems,True
dirichlet_flat,BHS,0.18400000000000005,adaptive over-performers,"Bahamas, The",adaptive over-performers,True
dirichlet_flat,BIH,0.31599999999999995,structurally vulnerable systems,Bosnia and Herzegovina,structurally vulnerable systems,True
dirichlet_flat,BLR,0.15800000000000003,capacity under-realizers,Belarus,capacity under-realizers,True
dirichlet_flat,BLZ,0.0,uncertain / data-limited systems,Belize,uncertain / data-limited systems,True
dirichlet_flat,BOL,0.0040000000000000036,structurally vulnerable systems,Bolivia,structurally vulnerable systems,True
dirichlet_flat,BRA,0.382,structurally vulnerable systems,Brazil,structurally vulnerable systems,True
dirichlet_flat,BRB,0.118,adaptive over-performers,Barbados,adaptive over-performers,True
dirichlet_flat,BRN,0.0,uncertain / data-limited systems,Brunei Darussalam,uncertain / data-limited systems,True
dirichlet_flat,BTN,0.0,uncertain / data-limited systems,Bhutan,uncertain / data-limited systems,True
dirichlet_flat,CAN,0.06999999999999995,effective converters,Canada,effective converters,True
dirichlet_flat,CHE,0.10399999999999998,effective converters,Switzerland,effective converters,True
dirichlet_flat,CHL,0.518,structurally vulnerable systems,Chile,capacity under-realizers,False
dirichlet_flat,COL,0.384,capacity under-realizers,Colombia,capacity under-realizers,True
dirichlet_flat,CPV,0.04400000000000004,adaptive over-performers,Cabo Verde,adaptive over-performers,True
dirichlet_flat,CRI,0.0,uncertain / data-limited systems,Costa Rica,uncertain / data-limited systems,True
dirichlet_flat,CYP,0.4,adaptive over-performers,Cyprus,adaptive over-performers,True
dirichlet_flat,CZE,0.01200000000000001,capacity under-realizers,Czechia,capacity under-realizers,True
dirichlet_flat,DEU,0.016000000000000014,effective converters,Germany,effective converters,True
dirichlet_flat,DNK,0.020000000000000018,effective converters,Denmark,effective converters,True
dirichlet_flat,DOM,0.006000000000000005,adaptive over-performers,Dominican Republic,adaptive over-performers,True
dirichlet_flat,DZA,0.622,adaptive over-performers,Algeria,structurally vulnerable systems,False
dirichlet_flat,ECU,0.21999999999999997,structurally vulnerable systems,Ecuador,structurally vulnerable systems,True
dirichlet_flat,EGY,0.19399999999999995,structurally vulnerable systems,"Egypt, Arab Rep.",structurally vulnerable systems,True
dirichlet_flat,ESP,0.040000000000000036,capacity under-realizers,Spain,capacity under-realizers,True
dirichlet_flat,EST,0.21799999999999997,capacity under-realizers,Estonia,capacity under-realizers,True
dirichlet_flat,FIN,0.02400000000000002,effective converters,Finland,effective converters,True
dirichlet_flat,FJI,0.09999999999999998,adaptive over-performers,Fiji,adaptive over-performers,True
dirichlet_flat,FRA,0.020000000000000018,effective converters,France,effective converters,True
dirichlet_flat,GBR,0.04600000000000004,capacity under-realizers,United Kingdom,capacity under-realizers,True
dirichlet_flat,GEO,0.0,uncertain / data-limited systems,Georgia,uncertain / data-limited systems,True
