model,repeat,cv_r2,cv_rmse_pooled
gradient_boosting,1,0.5697896141775626,1485.9620453908906
gradient_boosting,2,0.4337609885540231,1704.775380990451
gradient_boosting,3,0.45838819908742845,1667.2907113345652
gradient_boosting,4,0.49474016003829335,1610.3662556044292
gradient_boosting,5,0.45797412692470274,1667.9279267425347
gradient_boosting,6,0.439741326982494,1695.748984351066
gradient_boosting,7,0.42656257121774044,1715.5772940108584
gradient_boosting,8,0.4224763431734305,1721.6789151481494
gradient_boosting,9,0.5483630210240418,1522.5165365009316
gradient_boosting,10,0.40314633175464576,1750.2545090095707
gradient_boosting,11,0.5080662650519561,1588.9878425104412
gradient_boosting,12,0.49376113338169925,1611.925679466315
gradient_boosting,13,0.4566488976789136,1669.965686887177
gradient_boosting,14,0.4566637081733106,1669.9429270309013
gradient_boosting,15,0.4554141167538266,1671.8621324671547
gradient_boosting,16,0.44989038304939943,1680.3195879944158
gradient_boosting,17,0.48966075751704663,1618.4405598861938
gradient_boosting,18,0.48540225904202905,1625.179027178474
gradient_boosting,19,0.4851475524531539,1625.5811787663915
intercept_only,0,-0.0390147970447694,2309.288207167517
intercept_only,1,-0.026173194439284675,2294.9731263803574
intercept_only,2,-0.010130873496440262,2276.9636316221854
intercept_only,3,-0.03278044843117178,2302.3496298388177
intercept_only,4,-0.037933725962375986,2308.086513776903
intercept_only,5,-0.044298170022132544,2315.1521082397417
intercept_only,6,-0.005185888879304823,2271.3834814490483
intercept_only,7,-0.02446455816554738,2293.0617005127065
intercept_only,8,-0.013576832109225112,2280.84413973276
intercept_only,9,-0.01603887015845018,2283.612612187635
intercept_only,10,-0.041614914475541775,2312.1758795756755
intercept_only,11,-0.010297095313232418,2277.150966487705
intercept_only,12,-0.010417708017622873,2277.2868894458497
intercept_only,13,-0.009526908409887236,2276.282822730942
intercept_only,14,-0.009664823201074757,2276.438302662403
intercept_only,15,-0.0069662509127554895,2273.3941025359504
intercept_only,16,-0.0390486883739396,2309.325869869139
intercept_only,17,-0.012218595365479867,2279.3154125786355
intercept_only,18,-0.032311846285600465,2301.827249508034
intercept_only,19,-0.018021235541518132,2285.8392733770197
