model,repeat,fold,n_train,n_test,rmse,mae
elastic_net,9,3,85,21,1748.620736766294,1220.1732852946961
elastic_net,9,4,85,21,1646.3507586843798,1389.3007106490631
elastic_net,10,0,84,22,2345.406207374922,1704.3660133585204
elastic_net,10,1,85,21,1382.5387075550427,1122.9529138567432
elastic_net,10,2,85,21,2046.7025704825417,1663.86577092657
elastic_net,10,3,85,21,2008.4017594242341,1601.1925140515696
elastic_net,10,4,85,21,2197.946454136906,1651.7205472765484
elastic_net,11,0,84,22,1695.2934118343296,1251.2939089553372
elastic_net,11,1,85,21,2218.3820242815445,1763.0986267526896
elastic_net,11,2,85,21,2380.0038281124503,1820.2053101426843
elastic_net,11,3,85,21,1698.601397376571,1368.5748599454703
elastic_net,11,4,85,21,1322.6694428588032,1020.7398055756703
elastic_net,12,0,84,22,2078.7447110206153,1651.0996416501114
elastic_net,12,1,85,21,2209.192916432157,1663.3797110575422
elastic_net,12,2,85,21,2169.3334105876966,1823.4872630621917
elastic_net,12,3,85,21,1212.396290503972,1032.333099854718
elastic_net,12,4,85,21,1554.4051863879047,1243.6105642332095
elastic_net,13,0,84,22,1758.6995650518927,1380.8677081243259
elastic_net,13,1,85,21,2190.950800553209,1659.5700645518252
elastic_net,13,2,85,21,1815.0531503177867,1569.6830208343367
elastic_net,13,3,85,21,1459.107862444909,1091.9056823675583
elastic_net,13,4,85,21,2188.3115047914935,1495.0401758709593
elastic_net,14,0,84,22,2123.410055593804,1658.9906664408416
elastic_net,14,1,85,21,1920.0498734772605,1569.5282897800955
elastic_net,14,2,85,21,2230.8319720412073,1738.0617507450481
elastic_net,14,3,85,21,1601.6325875025416,1325.5021472525957
elastic_net,14,4,85,21,1569.6935201314473,1287.0663350716575
elastic_net,15,0,84,22,2200.6337805139124,1682.3361785525362
elastic_net,15,1,85,21,1731.7431217315952,1379.3242940414264
elastic_net,15,2,85,21,1602.3413479539781,1210.2652823037138
elastic_net,15,3,85,21,1777.6794398373695,1505.403011765303
elastic_net,15,4,85,21,2370.4732926259117,1812.5165967157102
elastic_net,16,0,84,22,1813.9434388123202,1368.4426511732836
elastic_net,16,1,85,21,2256.9540537627645,1786.3459541160937
elastic_net,16,2,85,21,1963.950569788375,1558.311369027136
elastic_net,16,3,85,21,1675.4509484061466,1286.857241729472
elastic_net,16,4,85,21,1594.7165835507,1200.5987115060275
elastic_net,17,0,84,22,2184.294284555756,1600.4268356011555
elastic_net,17,1,85,21,1748.2870527468287,1485.6495428834546
elastic_net,17,2,85,21,2072.141559890931,1607.1012966658798
elastic_net,17,3,85,21,1665.2545681851577,1372.8727063070892
elastic_net,17,4,85,21,1973.980062476271,1394.2984872099112
elastic_net,18,0,84,22,2298.2291375031054,1874.97427622833
elastic_net,18,1,85,21,1649.8847930829531,1246.8474725921003
elastic_net,18,2,85,21,1439.8307688847103,1091.3095656132468
elastic_net,18,3,85,21,2490.6612334605456,1994.048344433
elastic_net,18,4,85,21,1642.9129127349677,1174.9040015157252
elastic_net,19,0,84,22,2061.5854923330403,1733.3001262659504
elastic_net,19,1,85,21,1928.2202230931666,1421.8253059508177
elastic_net,19,2,85,21,2059.836081640889,1533.4336208051272
elastic_net,19,3,85,21,1698.5544307538821,1428.8311379579068
elastic_net,19,4,85,21,1685.9610526131892,1356.0155955782536
random_forest,0,0,84,22,2092.8358407590345,1625.3019721408164
random_forest,0,1,85,21,1567.6671465005045,1272.2195143691238
random_forest,0,2,85,21,1564.2358313728648,1133.806314512673
random_forest,0,3,85,21,1280.6736521152263,954.643286192747
random_forest,0,4,85,21,1342.6898789371664,999.9697571273131
random_forest,1,0,84,22,1391.390972974787,1027.3226907732876
random_forest,1,1,85,21,1719.7144730615616,1449.158759650787
random_forest,1,2,85,21,1421.7368813468888,1129.2037993502356
random_forest,1,3,85,21,1466.4930722284575,1101.1364387097499
random_forest,1,4,85,21,1686.1796832444033,1309.3579320860933
random_forest,2,0,84,22,1517.7007470363953,1242.942905471883
random_forest,2,1,85,21,1090.150797555687,798.3618232352353
random_forest,2,2,85,21,1879.2893361298597,1461.2374369830904
random_forest,2,3,85,21,1529.1940943310544,1164.4744586034042
random_forest,2,4,85,21,1757.1001693618905,1421.1057167229312
random_forest,3,0,84,22,2025.8802317481682,1794.0713240068123
random_forest,3,1,85,21,1576.8169433674893,1192.121568944099
random_forest,3,2,85,21,1105.8125309955692,832.590537784302
random_forest,3,3,85,21,1581.9464529674303,1179.342955395489
random_forest,3,4,85,21,1497.9609011252621,1169.0648368465243
random_forest,4,0,84,22,1395.303158166876,1114.217118552966
random_forest,4,1,85,21,1666.461906612122,1306.689182691127
random_forest,4,2,85,21,1858.4855037771804,1543.1689586776442
random_forest,4,3,85,21,1952.1737998730769,1516.235528333726
random_forest,4,4,85,21,1061.6764215792723,826.307084224999
random_forest,5,0,84,22,1383.3469631875425,1199.98424549996
random_forest,5,1,85,21,1687.5889089075235,1199.3574595994987
random_forest,5,2,85,21,1856.1705992200302,1486.4063833020277
random_forest,5,3,85,21,1628.6287232548605,1319.9728457784217
random_forest,5,4,85,21,1383.820945299044,981.7100203937582
random_forest,6,0,84,22,2023.9189161893946,1564.236509549197
random_forest,6,1,85,21,1390.857051004587,1042.528897717054
random_forest,6,2,85,21,1634.1252999070948,1373.2403428378161
random_forest,6,3,85,21,1488.4692533386562,1097.3976690351324
random_forest,6,4,85,21,1907.4603202437058,1525.2346743950577
random_forest,7,0,84,22,1635.8714986490827,1228.6483417301854
random_forest,7,1,85,21,1602.3850555683887,1210.7504113184145
random_forest,7,2,85,21,1829.8906110974838,1275.3457585811059
random_forest,7,3,85,21,1652.3027249903585,1392.4668079493179
random_forest,7,4,85,21,1320.8600523885527,1096.668527381177
random_forest,8,0,84,22,2121.0071833379347,1827.4325177098574
random_forest,8,1,85,21,1384.840005149569,986.7387829941747
random_forest,8,2,85,21,1580.41377127816,1239.4279254910207
random_forest,8,3,85,21,1566.5726069898303,1307.5996342741869
random_forest,8,4,85,21,1221.4684408198243,812.4007745554514
random_forest,9,0,84,22,1821.1440174838551,1447.311907873834
random_forest,9,1,85,21,1238.7569321905341,969.359030701927
random_forest,9,2,85,21,1656.0928182659352,1457.0646759177089
