model,repeat,fold,n_train,n_test,rmse,mae
random_forest,12,4,85,21,1269.1537982952855,956.9275942598982
random_forest,13,0,84,22,1652.1211349960856,1445.720320824805
random_forest,13,1,85,21,1454.6880084011127,1038.1962020021242
random_forest,13,2,85,21,1793.6121368514723,1502.10932654476
random_forest,13,3,85,21,1370.7482347965015,1048.874419736965
random_forest,13,4,85,21,1485.6937033800205,1028.27269964579
random_forest,14,0,84,22,1704.8747264809706,1282.249005979689
random_forest,14,1,85,21,1226.1298078278412,994.5570078657275
random_forest,14,2,85,21,1786.1046408453728,1417.2793166781828
random_forest,14,3,85,21,1453.435755420427,1164.9935333597018
random_forest,14,4,85,21,1505.1977495648787,1182.0680303314014
random_forest,15,0,84,22,1606.1103948501755,1313.3402115667534
random_forest,15,1,85,21,1592.1165779708322,1228.5371349204177
random_forest,15,2,85,21,885.3592339585281,582.9477519567384
random_forest,15,3,85,21,1723.7141137628496,1446.126853863124
random_forest,15,4,85,21,1669.620036268887,1427.5315571433905
random_forest,16,0,84,22,1509.157721782496,1085.078217054595
random_forest,16,1,85,21,2080.282841493032,1556.059281621446
random_forest,16,2,85,21,1383.492556355605,1094.3506897026584
random_forest,16,3,85,21,1562.7058684732233,1284.2919632332926
random_forest,16,4,85,21,1384.8647137251821,1074.9529007766762
random_forest,17,0,84,22,1536.2142579426784,1151.1299113437851
random_forest,17,1,85,21,1526.621538032675,1229.6723082319475
random_forest,17,2,85,21,1528.3296033904119,1242.518042896434
random_forest,17,3,85,21,1494.257293573591,1201.4222296161647
random_forest,17,4,85,21,1536.194610091496,1128.2640852150969
random_forest,18,0,84,22,1833.5407775294236,1524.2896258455191
random_forest,18,1,85,21,1347.8298274593742,1098.9420784074755
random_forest,18,2,85,21,1216.5933381579873,908.4353344981157
random_forest,18,3,85,21,1927.403403859045,1568.4266470600664
random_forest,18,4,85,21,1411.729130158219,1078.8554288359826
random_forest,19,0,84,22,1681.4924987758864,1342.0758438548824
random_forest,19,1,85,21,1468.2476702145807,1135.8657950908666
random_forest,19,2,85,21,1731.2476470810655,1171.3630846906021
random_forest,19,3,85,21,1406.6051660015767,1150.1170856636074
random_forest,19,4,85,21,1677.7989977453228,1315.4826395921166
gradient_boosting,0,0,84,22,2239.1423668140305,1781.4939570676675
gradient_boosting,0,1,85,21,1775.0419545846344,1387.252317053753
gradient_boosting,0,2,85,21,1592.0770860468256,1273.8316840822745
gradient_boosting,0,3,85,21,1324.69696120593,902.1926664804967
gradient_boosting,0,4,85,21,1340.5462523190065,1115.0315597671643
gradient_boosting,1,0,84,22,1492.5134746521273,1180.9232185422325
gradient_boosting,1,1,85,21,1432.2578199481013,1225.0501267532952
gradient_boosting,1,2,85,21,1418.1831139473134,1116.2786621245646
gradient_boosting,1,3,85,21,1430.8177589534316,1109.0655248187086
gradient_boosting,1,4,85,21,1643.7898464997857,1185.3038464649726
gradient_boosting,2,0,84,22,1614.5479409541183,1365.1579513086476
gradient_boosting,2,1,85,21,1105.259392233365,820.7999557569271
gradient_boosting,2,2,85,21,1855.0362285879316,1463.8276583170098
gradient_boosting,2,3,85,21,1667.9539205586314,1279.3211930829016
gradient_boosting,2,4,85,21,2119.897179382411,1483.6709651584727
gradient_boosting,3,0,84,22,2144.531349555065,1848.4964821363778
gradient_boosting,3,1,85,21,1606.0817608777706,1231.4396026731254
gradient_boosting,3,2,85,21,1116.687501816854,911.0406621371689
gradient_boosting,3,3,85,21,1534.1175786575398,1179.0364292197617
gradient_boosting,3,4,85,21,1741.735924844317,1236.4814411451534
gradient_boosting,4,0,84,22,1609.518363413186,1369.7815315304454
gradient_boosting,4,1,85,21,1680.1304511307587,1179.6952551124432
gradient_boosting,4,2,85,21,1813.4804534363343,1406.067478735459
gradient_boosting,4,3,85,21,1675.6484263294608,1354.282718059347
gradient_boosting,4,4,85,21,1206.9095628038501,863.9476655615111
gradient_boosting,5,0,84,22,1326.0715989575447,1083.8313267284577
gradient_boosting,5,1,85,21,1787.7321496575687,1278.335653855473
gradient_boosting,5,2,85,21,2080.752660570378,1631.3949193568606
gradient_boosting,5,3,85,21,1308.2087352949457,1167.3876516096711
gradient_boosting,5,4,85,21,1721.4130612034617,1277.4389425894863
gradient_boosting,6,0,84,22,1947.9704413804914,1488.1816398267642
gradient_boosting,6,1,85,21,1468.9079543790235,1082.5242180871655
gradient_boosting,6,2,85,21,1653.793787853315,1286.40937432592
gradient_boosting,6,3,85,21,1402.2981194242004,1080.3444479906254
gradient_boosting,6,4,85,21,1918.4125479176955,1533.3162783161722
gradient_boosting,7,0,84,22,1852.765358446102,1466.5320560723185
gradient_boosting,7,1,85,21,1507.6697371404573,1148.6308424707067
gradient_boosting,7,2,85,21,1804.4212746265334,1277.3322144814852
gradient_boosting,7,3,85,21,1934.6124419288194,1548.8285760812498
gradient_boosting,7,4,85,21,1410.0521863386327,1155.5167004027546
gradient_boosting,8,0,84,22,2232.3439227568683,1784.1673234867174
gradient_boosting,8,1,85,21,1900.279056318323,1501.1325947203993
gradient_boosting,8,2,85,21,1606.2564886645318,1281.468487211246
gradient_boosting,8,3,85,21,1386.689185663443,1102.2997007479976
gradient_boosting,8,4,85,21,1275.67757168014,988.2374800148218
gradient_boosting,9,0,84,22,1617.9697142475497,1202.7853705324517
gradient_boosting,9,1,85,21,1323.1635439505046,1033.0327665456973
gradient_boosting,9,2,85,21,1855.6950583972985,1541.6315441669092
gradient_boosting,9,3,85,21,1201.5165152376871,893.1147049124357
gradient_boosting,9,4,85,21,1523.2118829027388,1190.3550853916508
gradient_boosting,10,0,84,22,2113.7886838494605,1599.9234173086422
gradient_boosting,10,1,85,21,1467.7156560114138,1093.341792058558
gradient_boosting,10,2,85,21,1460.268672502508,1195.6122406289467
gradient_boosting,10,3,85,21,1678.068517395717,1310.956741967524
gradient_boosting,10,4,85,21,1918.1951943989084,1451.4736083858124
gradient_boosting,11,0,84,22,1822.7981250030005,1330.9847225047024
gradient_boosting,11,1,85,21,1628.9661173967759,1350.8721655941376
gradient_boosting,11,2,85,21,1532.1649585167586,1223.7673676860609
gradient_boosting,11,3,85,21,1568.2213449783192,1180.9498243313915
gradient_boosting,11,4,85,21,1342.927523786279,1080.0382005474207
gradient_boosting,12,0,84,22,1569.7117208817197,1264.4127384619046
gradient_boosting,12,1,85,21,1642.2381658482925,1334.9008854248282
gradient_boosting,12,2,85,21,2073.1029192211195,1611.0820126077795
gradient_boosting,12,3,85,21,1348.911604181802,982.3922074345967
gradient_boosting,12,4,85,21,1311.3574500948275,1037.7500439693267
gradient_boosting,13,0,84,22,1725.612203708209,1414.6668370172904
gradient_boosting,13,1,85,21,1559.1817639625162,1120.7768099114155
gradient_boosting,13,2,85,21,1638.5262744741883,1300.4547810921367
gradient_boosting,13,3,85,21,1784.0289274622237,1367.3291515517637
gradient_boosting,13,4,85,21,1630.526430904533,1169.554674126354
gradient_boosting,14,0,84,22,1718.5088788675537,1238.6675814269947
gradient_boosting,14,1,85,21,1176.2938241644097,921.279969475358
gradient_boosting,14,2,85,21,2007.6750071952854,1595.1773523499392
gradient_boosting,14,3,85,21,1679.4566616777695,1398.985666299039
gradient_boosting,14,4,85,21,1657.5394431043183,1260.5185710814415
gradient_boosting,15,0,84,22,1543.6058339597334,1188.2084779245245
gradient_boosting,15,1,85,21,1878.2107892587608,1559.079776625952
gradient_boosting,15,2,85,21,860.5398129233777,743.595838520194
gradient_boosting,15,3,85,21,2107.674816658417,1746.423202201986
gradient_boosting,15,4,85,21,1703.536496409354,1407.5234292947384
gradient_boosting,16,0,84,22,1499.5192650955398,1280.8313129488745
gradient_boosting,16,1,85,21,2248.3201622280753,1730.7075427931836
gradient_boosting,16,2,85,21,1261.2529626368153,922.2421588943901
gradient_boosting,16,3,85,21,1806.6027002719427,1494.212411003721
gradient_boosting,16,4,85,21,1409.4937408638664,1127.1416482196728
gradient_boosting,17,0,84,22,1426.3967541339841,1156.2845814189193
gradient_boosting,17,1,85,21,1591.1941367564707,1173.4725277222274
gradient_boosting,17,2,85,21,1770.1002345372308,1467.5970294818842
gradient_boosting,17,3,85,21,1647.7549685646297,1328.8821923949918
gradient_boosting,17,4,85,21,1646.1276790435797,1135.2094259174887
gradient_boosting,18,0,84,22,1809.0696492057189,1565.1217974657593
gradient_boosting,18,1,85,21,1542.9907289782552,1159.8537601288128
gradient_boosting,18,2,85,21,1263.7313816012013,960.2082811982744
gradient_boosting,18,3,85,21,1825.0890236812281,1416.483655951553
gradient_boosting,18,4,85,21,1610.726961553434,1306.0410117705117
gradient_boosting,19,0,84,22,1804.9131148602783,1417.8480370808707
gradient_boosting,19,1,85,21,1458.9202940897394,1135.4498970344666
gradient_boosting,19,2,85,21,1635.8808408510752,1262.699632533226
gradient_boosting,19,3,85,21,1282.0107223549544,1039.0517548785963
gradient_boosting,19,4,85,21,1864.7944512536346,1356.7043644820055
intercept_only,0,0,84,22,2042.707274635057,1799.9594543506487
intercept_only,0,1,85,21,2359.742792871074,1958.297444095238
intercept_only,0,2,85,21,2707.7340442253444,1968.4387891820727
intercept_only,0,3,85,21,1983.8112669731013,1576.9357013949582
intercept_only,0,4,85,21,2389.756458420783,1795.4873122408965
intercept_only,1,0,84,22,2150.165307652893,1550.3639182467532
intercept_only,1,1,85,21,2479.871490099916,2129.8900788515407
intercept_only,1,2,85,21,2714.2188232198664,1914.1706266050421
intercept_only,1,3,85,21,2282.4542811236092,1907.0005412605042
intercept_only,1,4,85,21,1736.5498476979199,1514.2887892941176
intercept_only,2,0,84,22,2494.880029068757,1956.815025909091
intercept_only,2,1,85,21,1891.138787358645,1531.5435240392155
intercept_only,2,2,85,21,3005.0897226909037,2278.956005170868
intercept_only,2,3,85,21,1669.8390139756702,1441.177286918767
intercept_only,2,4,85,21,2062.411396250974,1742.5235532268912
intercept_only,3,0,84,22,2953.664147246971,2194.578022380952
intercept_only,3,1,85,21,2358.369524089662,1875.3900292829135
intercept_only,3,2,85,21,1560.4653396363585,1293.883711254902
intercept_only,3,3,85,21,2528.752737789396,2062.6533424033614
intercept_only,3,4,85,21,1795.932279239308,1567.5976872324927
intercept_only,4,0,84,22,1631.4930281847012,1356.2613188528137
intercept_only,4,1,85,21,2065.7572598876677,1604.1555697422968
intercept_only,4,2,85,21,2742.432532215105,2277.0753280616245
intercept_only,4,3,85,21,3082.8856292238092,2495.432288711485
intercept_only,4,4,85,21,1676.007905631323,1414.4443071316525
intercept_only,5,0,84,22,1810.0112273130521,1566.9488617532465
intercept_only,5,1,85,21,2812.957457104419,2078.3112769131653
intercept_only,5,2,85,21,2725.694093574045,2187.1659121848743
intercept_only,5,3,85,21,2452.2210528686937,2113.578139535014
intercept_only,5,4,85,21,1505.7249980048055,1217.105246
intercept_only,6,0,84,22,1639.3148233731488,1523.359662792208
intercept_only,6,1,85,21,2384.7732605035185,1673.3239130812328
intercept_only,6,2,85,21,2185.9437115531014,1870.3455575070032
intercept_only,6,3,85,21,2183.802634988953,1741.7107545042013
intercept_only,6,4,85,21,2826.9737049637397,2147.5092431092435
intercept_only,7,0,84,22,2216.819869346738,1649.4522805844158
intercept_only,7,1,85,21,2204.0331198885274,1918.7025160504204
intercept_only,7,2,85,21,3178.1682819167413,2265.517538661064
intercept_only,7,3,85,21,1846.7653691806715,1644.071843277311
intercept_only,7,4,85,21,1738.8746185461594,1493.1184851260502
intercept_only,8,0,84,22,2679.809585495864,2221.6029234848484
intercept_only,8,1,85,21,2010.5451869632766,1518.750127792717
intercept_only,8,2,85,21,2032.2439147344226,1728.748149148459
intercept_only,8,3,85,21,2242.445644988701,1702.3053066834736
intercept_only,8,4,85,21,2352.606326482133,1799.9742508851534
intercept_only,9,0,84,22,2976.5496066856085,2528.996148008658
intercept_only,9,1,85,21,1777.1685945018753,1421.4898701120446
intercept_only,9,2,85,21,2481.2356308470503,1891.2167403417368
intercept_only,9,3,85,21,2151.2797342675785,1525.030873070028
intercept_only,9,4,85,21,1760.157014631028,1557.68713205042
intercept_only,10,0,84,22,2695.7923801857933,1977.5865250000002
intercept_only,10,1,85,21,1519.2172545086291,1309.5229041736693
intercept_only,10,2,85,21,2440.9530969614993,1968.2175535854337
intercept_only,10,3,85,21,2075.195979453118,1947.0236761176475
intercept_only,10,4,85,21,2607.545909554208,1918.8735437703083
intercept_only,11,0,84,22,2045.0332896431553,1654.841970768398
intercept_only,11,1,85,21,2538.8775021466795,2041.1040484425776
intercept_only,11,2,85,21,2902.0077925440055,2345.320126997199
intercept_only,11,3,85,21,2127.4052055143807,1713.2388438487392
intercept_only,11,4,85,21,1548.965597730159,1215.8377797142855
intercept_only,12,0,84,22,2350.340604526777,1858.369965
intercept_only,12,1,85,21,2400.2093530139937,1816.032326840336
intercept_only,12,2,85,21,2698.6223995894225,2212.063044117647
intercept_only,12,3,85,21,1766.6776758459182,1509.8031695182071
intercept_only,12,4,85,21,2055.543911299084,1590.3156624145658
intercept_only,13,0,84,22,2030.936248515073,1723.6955017532464
intercept_only,13,1,85,21,2626.5966150565196,2001.8643707843137
intercept_only,13,2,85,21,2164.934398949945,1988.8909303249297
intercept_only,13,3,85,21,1771.746504139901,1279.796830952381
intercept_only,13,4,85,21,2666.0646969556956,1962.6813339775913
intercept_only,14,0,84,22,2501.4908421357554,1990.9498167857148
intercept_only,14,1,85,21,2213.9743904149996,1793.960706302521
intercept_only,14,2,85,21,2742.2315541772987,2187.149360106442
intercept_only,14,3,85,21,1761.0302220256146,1446.5924070084027
intercept_only,14,4,85,21,2019.7654079231145,1577.7032412044819
intercept_only,15,0,84,22,2616.941251321905,2054.709402402598
intercept_only,15,1,85,21,2215.892212784056,1728.1941050140058
intercept_only,15,2,85,21,1922.4638074220989,1489.8095685994397
intercept_only,15,3,85,21,1701.0985553823095,1522.9529832661067
intercept_only,15,4,85,21,2722.762868121343,2130.344478672269
intercept_only,16,0,84,22,2340.7139603288333,1899.4873901948051
intercept_only,16,1,85,21,2954.322799277293,2393.6397757591035
intercept_only,16,2,85,21,2417.7213369984092,2020.3811644985988
intercept_only,16,3,85,21,1917.3956327509693,1560.0717003641457
intercept_only,16,4,85,21,1711.4999457765405,1246.5737610028013
intercept_only,17,0,84,22,2525.57899738837,1858.9186850324672
intercept_only,17,1,85,21,1986.6875852023772,1659.795486851541
intercept_only,17,2,85,21,2270.0389738023505,1796.2775773949581
intercept_only,17,3,85,21,2003.3964746254353,1684.9151344257705
intercept_only,17,4,85,21,2535.329628349739,1940.023430560224
intercept_only,18,0,84,22,2610.231071683767,2117.955730411256
intercept_only,18,1,85,21,2114.0003965256547,1769.3614408683472
intercept_only,18,2,85,21,1812.7128701525153,1452.842784935574
intercept_only,18,3,85,21,2807.6190402926068,2174.8174443417365
intercept_only,18,4,85,21,1992.2221022438596,1601.4796927450977
intercept_only,19,0,84,22,2345.004011959961,2034.8785837012986
intercept_only,19,1,85,21,2172.5416374962674,1576.758682773109
intercept_only,19,2,85,21,2784.662516481833,2026.9730341232491
intercept_only,19,3,85,21,2088.8186884604806,1824.6650691036407
intercept_only,19,4,85,21,1943.1338862314915,1525.8342014285713
