iso3,stability_25,n_distinct_labels_25,stability_125,n_distinct_labels_125,country,conversion_profile
MDA,1.0,1,1.0,1,Moldova,uncertain / data-limited systems
MDV,1.0,1,1.0,1,Maldives,capacity under-realizers
MEX,1.0,1,1.0,1,Mexico,structurally vulnerable systems
MKD,0.6,2,0.6,2,North Macedonia,structurally vulnerable systems
MLT,1.0,1,1.0,1,Malta,uncertain / data-limited systems
MNE,1.0,1,1.0,1,Montenegro,uncertain / data-limited systems
MNG,1.0,1,1.0,1,Mongolia,adaptive over-performers
MUS,1.0,1,1.0,1,Mauritius,uncertain / data-limited systems
MYS,1.0,1,1.0,1,Malaysia,adaptive over-performers
NAM,1.0,1,1.0,1,Namibia,adaptive over-performers
NIC,1.0,1,1.0,1,Nicaragua,uncertain / data-limited systems
NLD,1.0,1,0.6,2,Netherlands,effective converters
NOR,1.0,1,1.0,1,Norway,effective converters
NZL,1.0,1,1.0,1,New Zealand,effective converters
OMN,1.0,1,1.0,1,Oman,uncertain / data-limited systems
PAN,1.0,1,1.0,1,Panama,structurally vulnerable systems
PER,1.0,1,1.0,1,Peru,structurally vulnerable systems
PHL,0.8,2,0.8,2,Philippines,adaptive over-performers
POL,1.0,1,1.0,1,Poland,capacity under-realizers
PRT,1.0,1,1.0,1,Portugal,capacity under-realizers
PRY,1.0,1,1.0,1,Paraguay,structurally vulnerable systems
PSE,1.0,1,1.0,1,West Bank and Gaza,adaptive over-performers
QAT,1.0,1,1.0,1,Qatar,capacity under-realizers
ROU,0.6,2,0.6,2,Romania,capacity under-realizers
RUS,1.0,1,1.0,1,Russian Federation,uncertain / data-limited systems
SGP,1.0,1,1.0,1,Singapore,uncertain / data-limited systems
SLV,1.0,1,1.0,1,El Salvador,adaptive over-performers
SMR,1.0,1,1.0,1,San Marino,uncertain / data-limited systems
SRB,1.0,1,1.0,1,Serbia,uncertain / data-limited systems
SUR,1.0,1,1.0,1,Suriname,adaptive over-performers
SVK,1.0,1,1.0,1,Slovak Republic,capacity under-realizers
SVN,1.0,1,0.92,2,Slovenia,capacity under-realizers
SWE,1.0,1,1.0,1,Sweden,effective converters
SYC,1.0,1,1.0,1,Seychelles,uncertain / data-limited systems
THA,1.0,1,1.0,1,Thailand,uncertain / data-limited systems
TJK,1.0,1,1.0,1,Tajikistan,adaptive over-performers
TUN,0.8,2,0.8,2,Tunisia,structurally vulnerable systems
TUR,1.0,1,1.0,1,Turkiye,uncertain / data-limited systems
UKR,1.0,1,1.0,1,Ukraine,uncertain / data-limited systems
URY,1.0,1,0.8,2,Uruguay,effective converters
USA,1.0,1,1.0,1,United States,capacity under-realizers
UZB,1.0,1,1.0,1,Uzbekistan,adaptive over-performers
VCT,1.0,1,1.0,1,St. Vincent and the Grenadines,adaptive over-performers
ZAF,1.0,1,1.0,1,South Africa,uncertain / data-limited systems
