iso3,country,region,income_group,physicians_per_1000,physicians_per_1000_observed_years,physicians_per_1000_aggregation,nurses_midwives_per_1000,nurses_midwives_per_1000_observed_years,nurses_midwives_per_1000_aggregation,hospital_beds_per_1000,hospital_beds_per_1000_observed_years,hospital_beds_per_1000_aggregation,current_health_expenditure_per_capita_ppp,current_health_expenditure_per_capita_ppp_observed_years,current_health_expenditure_per_capita_ppp_aggregation,domestic_gov_health_expenditure_gdp,domestic_gov_health_expenditure_gdp_observed_years,domestic_gov_health_expenditure_gdp_aggregation,out_of_pocket_expenditure_share,out_of_pocket_expenditure_share_observed_years,out_of_pocket_expenditure_share_aggregation,uhc_service_coverage_index,uhc_service_coverage_index_observed_years,uhc_service_coverage_index_aggregation,measles_immunization_coverage,measles_immunization_coverage_observed_years,measles_immunization_coverage_aggregation,dpt_immunization_coverage,dpt_immunization_coverage_observed_years,dpt_immunization_coverage_aggregation,age65_share,age65_share_observed_years,age65_share_aggregation,population_density,population_density_observed_years,population_density_aggregation,life_expectancy,life_expectancy_observed_years,life_expectancy_aggregation,under5_mortality,under5_mortality_observed_years,under5_mortality_aggregation,adult_mortality_female,adult_mortality_female_observed_years,adult_mortality_female_aggregation,adult_mortality_male,adult_mortality_male_observed_years,adult_mortality_male_aggregation,gdp_per_capita_ppp,gdp_per_capita_ppp_observed_years,gdp_per_capita_ppp_aggregation,feature_missing_count,feature_missing_rate,primary_sample,extended_sample
SYC,Seychelles,Sub-Saharan Africa ,High income,1.9349999999999998,3.0,mean_2016_2019,6.614333333333334,3.0,mean_2016_2019,2.808,5.0,mean_2015_2019,1136.3414372099433,5.0,mean_2015_2019,3.1713891,5.0,mean_2015_2019,25.692138290000003,5.0,mean_2015_2019,79.6,5.0,mean_2015_2019,97.8,5.0,mean_2015_2019,97.6,5.0,mean_2015_2019,7.176757882913783,5,mean_2015_2019,207.9678260869564,5.0,mean_2015_2019,73.95853658536585,5,mean_2015_2019,14.719999999999999,5.0,mean_2015_2019,106.9956,5,mean_2015_2019,210.208,5,mean_2015_2019,31144.101264626464,5.0,mean_2015_2019,0,0.0,True,True
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,1.41425,4.0,mean_2016_2019,1.6985,4.0,mean_2016_2019,1.3699999999999999,5.0,mean_2015_2019,139.783946548468,5.0,mean_2015_2019,1.873006534,5.0,mean_2015_2019,43.64096755999999,5.0,mean_2015_2019,71.0,5.0,mean_2015_2019,73.0,5.0,mean_2015_2019,59.4,5.0,mean_2015_2019,4.364056515305288,5,mean_2015_2019,106.4907683929642,5.0,mean_2015_2019,66.4894,5,mean_2015_2019,31.860000000000003,5.0,mean_2015_2019,131.1114,5,mean_2015_2019,329.27799999999996,5,mean_2015_2019,5016.695588176406,5.0,mean_2015_2019,0,0.0,True,True
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.060005918091202,5,mean_2015_2019,42.012210526315776,5.0,mean_2015_2019,77.50999999999999,5,mean_2015_2019,5.82,5.0,mean_2015_2019,76.4314,5,mean_2015_2019,112.6876,5,mean_2015_2019,25053.03574024262,5.0,mean_2015_2019,9,0.6,False,False
TCD,Chad,Sub-Saharan Africa ,Low income,0.045599999999999995,5.0,mean_2015_2019,0.22059999999999996,5.0,mean_2015_2019,0.44,2.0,latest_pre2020_2017,77.20180435410893,5.0,mean_2015_2019,0.5750508479999998,5.0,mean_2015_2019,59.965805816,5.0,mean_2015_2019,25.4,5.0,mean_2015_2019,40.2,5.0,mean_2015_2019,44.8,5.0,mean_2015_2019,2.050719207034194,5,mean_2015_2019,12.424839421855161,5.0,mean_2015_2019,52.0476,5,mean_2015_2019,121.34,5.0,mean_2015_2019,349.2726,5,mean_2015_2019,403.06319999999994,5,mean_2015_2019,2619.668228880014,5.0,mean_2015_2019,0,0.0,True,True
TGO,Togo,Sub-Saharan Africa ,Low income,0.0622,5.0,mean_2015_2019,0.3656,5.0,mean_2015_2019,0.624,5.0,mean_2015_2019,126.4241324552514,5.0,mean_2015_2019,0.9744966979999999,5.0,mean_2015_2019,64.54078598000001,5.0,mean_2015_2019,38.4,5.0,mean_2015_2019,75.4,5.0,mean_2015_2019,83.2,5.0,mean_2015_2019,2.920255540095872,5,mean_2015_2019,148.19073359073337,5.0,mean_2015_2019,60.1442,5,mean_2015_2019,70.5,5.0,mean_2015_2019,269.7496,5,mean_2015_2019,285.626,5,mean_2015_2019,2474.57381309524,5.0,mean_2015_2019,0,0.0,True,True
THA,Thailand,East Asia & Pacific,Upper middle income,0.548,5.0,mean_2015_2019,2.7269999999999994,5.0,mean_2015_2019,2.1119999999999997,5.0,mean_2015_2019,685.8398058473861,5.0,mean_2015_2019,2.76672001,5.0,mean_2015_2019,10.668450736,5.0,mean_2015_2019,80.6,5.0,mean_2015_2019,97.8,5.0,mean_2015_2019,98.2,5.0,mean_2015_2019,11.296706216542102,5,mean_2015_2019,139.1529186321906,5.0,mean_2015_2019,76.9416,5,mean_2015_2019,11.139999999999999,5.0,mean_2015_2019,87.2096,5,mean_2015_2019,206.2554,5,mean_2015_2019,20087.005243579937,5.0,mean_2015_2019,0,0.0,True,True
TJK,Tajikistan,Europe & Central Asia,Lower middle income,1.8306,5.0,mean_2015_2019,4.9436,5.0,mean_2015_2019,4.403999999999999,5.0,mean_2015_2019,212.0959559376492,5.0,mean_2015_2019,1.9634725080000002,5.0,mean_2015_2019,66.275387572,5.0,mean_2015_2019,71.8,5.0,mean_2015_2019,97.6,5.0,mean_2015_2019,96.4,5.0,mean_2015_2019,3.052893587587644,5,mean_2015_2019,65.469725484545,5.0,mean_2015_2019,70.374,5,mean_2015_2019,31.160000000000004,5.0,mean_2015_2019,119.66399999999999,5,mean_2015_2019,181.77540000000002,5,mean_2015_2019,3330.73994297338,5.0,mean_2015_2019,0,0.0,True,True
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,1.966,5.0,mean_2015_2019,3.8372,5.0,mean_2015_2019,3.846,5.0,mean_2015_2019,913.0117441462329,5.0,mean_2015_2019,1.1032384880000001,5.0,mean_2015_2019,74.710726928,5.0,mean_2015_2019,79.4,5.0,mean_2015_2019,99.0,5.0,mean_2015_2019,98.8,5.0,mean_2015_2019,3.6369048806271196,5,mean_2015_2019,13.8498670014683,5.0,mean_2015_2019,69.21400000000001,5,mean_2015_2019,43.56,5.0,mean_2015_2019,115.3758,5,mean_2015_2019,219.2968,5,mean_2015_2019,14119.55722550812,5.0,mean_2015_2019,0,0.0,True,True
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0.72925,4.0,mean_2015_2019,1.651,4.0,mean_2015_2019,0.41,4.0,mean_2015_2019,233.1012279816598,5.0,mean_2015_2019,3.837314748,5.0,mean_2015_2019,8.850617026,5.0,mean_2015_2019,44.2,5.0,mean_2015_2019,74.4,5.0,mean_2015_2019,80.8,5.0,mean_2015_2019,5.450986879496588,5,mean_2015_2019,84.22394082044384,5.0,mean_2015_2019,65.90679999999999,5,mean_2015_2019,57.4,5.0,mean_2015_2019,177.18919999999997,5,mean_2015_2019,224.8002,5,mean_2015_2019,4513.048160733686,5.0,mean_2015_2019,0,0.0,True,True
TON,Tonga,East Asia & Pacific,Upper middle income,1.012,1.0,latest_pre2020_2019,4.286,2.0,latest_pre2020_2019,,,,298.9898484298086,5.0,mean_2015_2019,2.9710894580000002,5.0,mean_2015_2019,6.684612274,5.0,mean_2015_2019,69.2,5.0,mean_2015_2019,98.8,5.0,mean_2015_2019,97.8,5.0,mean_2015_2019,6.097519661258078,5,mean_2015_2019,146.72527777777782,5.0,mean_2015_2019,72.0658,5,mean_2015_2019,11.379999999999999,5.0,mean_2015_2019,117.5436,5,mean_2015_2019,223.3988,5,mean_2015_2019,6688.077230354533,5.0,mean_2015_2019,1,0.06666666666666667,True,True
