iso3,country,outcome_date,cumulative_excess_deaths_per_million_2020_2022,outcome_years
GRL,Greenland,2022-12-31,-1791.3408,2020-2022
GTM,Guatemala,2022-12-25,2760.5828,2020-2022
GUF,French Guiana,2022-12-25,820.1781,2020-2022
HKG,Hong Kong,2022-12-31,2211.5774,2020-2022
HRV,Croatia,2022-12-25,5616.296,2020-2022
HUN,Hungary,2022-12-25,4209.2827,2020-2022
IRL,Ireland,2022-12-25,1580.8341,2020-2022
IRN,Iran,2022-10-09,3064.1272,2020-2022
ISL,Iceland,2022-12-25,1134.6113,2020-2022
ISR,Israel,2022-12-25,1356.6249,2020-2022
ITA,Italy,2022-12-25,4042.4766,2020-2022
JAM,Jamaica,2022-12-31,2040.6863,2020-2022
JOR,Jordan,2022-12-31,1475.2865,2020-2022
JPN,Japan,2022-12-31,859.7607,2020-2022
KAZ,Kazakhstan,2022-12-31,4240.0146,2020-2022
KGZ,Kyrgyzstan,2022-12-31,2132.5605,2020-2022
KNA,Saint Kitts and Nevis,2022-12-31,4525.9116,2020-2022
KOR,South Korea,2022-12-25,1248.7174,2020-2022
KWT,Kuwait,2022-12-31,1601.9636,2020-2022
LBN,Lebanon,2021-12-31,2354.6365,2020-2022
LIE,Liechtenstein,2022-12-31,1392.4532,2020-2022
LTU,Lithuania,2022-12-25,8358.042,2020-2022
LUX,Luxembourg,2022-12-25,-259.57343,2020-2022
LVA,Latvia,2022-12-25,5407.656,2020-2022
MAC,Macao,2022-12-31,955.436,2020-2022
MCO,Monaco,2022-12-31,5897.3447,2020-2022
MDA,Moldova,2022-12-31,5433.009,2020-2022
MDV,Maldives,2021-12-31,1109.1743,2020-2022
MEX,Mexico,2022-12-25,5406.9375,2020-2022
MKD,North Macedonia,2022-12-31,7957.562,2020-2022
MLT,Malta,2022-12-25,1495.4257,2020-2022
MNE,Montenegro,2022-12-25,5335.1875,2020-2022
MNG,Mongolia,2022-12-31,211.21863,2020-2022
MTQ,Martinique,2022-12-25,3709.8108,2020-2022
MUS,Mauritius,2022-12-31,1459.971,2020-2022
MYS,Malaysia,2022-12-31,1283.0078,2020-2022
MYT,Mayotte,2022-12-25,1557.129,2020-2022
NAM,Namibia,2021-12-31,1225.8562,2020-2022
NCL,New Caledonia,2022-12-31,1385.7131,2020-2022
NIC,Nicaragua,2022-12-31,2660.4993,2020-2022
NLD,Netherlands,2022-12-25,2329.8596,2020-2022
NOR,Norway,2022-12-25,1072.0009,2020-2022
NZL,New Zealand,2022-12-25,-91.14247,2020-2022
OMN,Oman,2022-12-31,958.591,2020-2022
PAN,Panama,2021-10-31,1724.4185,2020-2022
PER,Peru,2022-10-09,5901.3433,2020-2022
PHL,Philippines,2022-12-31,2245.3413,2020-2022
POL,Poland,2022-12-25,4447.032,2020-2022
PRI,Puerto Rico,2022-12-25,2873.3137,2020-2022
PRT,Portugal,2022-12-25,2965.186,2020-2022
PRY,Paraguay,2022-12-31,4178.656,2020-2022
PSE,Palestine,2021-12-31,922.9372,2020-2022
PYF,French Polynesia,2022-12-31,1521.424,2020-2022
QAT,Qatar,2022-12-31,519.23267,2020-2022
REU,Reunion,2022-12-25,1164.2996,2020-2022
ROU,Romania,2022-12-25,5864.2363,2020-2022
RUS,Russia,2022-12-31,8749.637,2020-2022
SGP,Singapore,2022-12-31,972.30634,2020-2022
SLV,El Salvador,2020-08-31,753.09076,2020-2022
SMR,San Marino,2022-12-31,3935.886,2020-2022
SRB,Serbia,2022-12-31,8464.41,2020-2022
SUR,Suriname,2022-12-31,3481.618,2020-2022
SVK,Slovakia,2022-12-25,5343.659,2020-2022
SVN,Slovenia,2022-12-25,2868.0425,2020-2022
SWE,Sweden,2022-12-25,1389.8391,2020-2022
SYC,Seychelles,2022-12-31,-546.97345,2020-2022
THA,Thailand,2022-12-31,2082.8452,2020-2022
TJK,Tajikistan,2022-12-31,1522.2467,2020-2022
TUN,Tunisia,2022-12-31,2412.1658,2020-2022
TUR,Turkey,2022-12-31,2705.4653,2020-2022
TWN,Taiwan,2022-12-31,831.23395,2020-2022
UKR,Ukraine,2022-01-31,4533.1055,2020-2022
URY,Uruguay,2022-12-31,2126.0981,2020-2022
USA,United States,2022-12-25,3758.817,2020-2022
UZB,Uzbekistan,2022-12-31,1438.2266,2020-2022
VCT,Saint Vincent and the Grenadines,2021-12-31,1232.5092,2020-2022
ZAF,South Africa,2022-12-25,4671.983,2020-2022
