iso3,country,life_expectancy_2019,life_expectancy_2020,life_expectancy_loss_2019_2020,life_expectancy_2021,life_expectancy_loss_2019_2021,life_expectancy_2022,life_expectancy_loss_2019_2022,max_life_expectancy_drop_2020_2022,higher_is_worse,source_indicator,source_provenance
IMN,Isle of Man,80.74,80.591,0.1490000000000009,80.42,0.3199999999999932,80.956,-0.21600000000000819,0.3199999999999932,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
IND,India,70.746,70.156,0.5899999999999892,67.282,3.4639999999999986,71.698,-0.9519999999999982,3.4639999999999986,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
IRL,Ireland,82.7024390243903,82.4560975609756,0.24634146341469432,82.2536585365854,0.4487804878048962,82.509756097561,0.1926829268293062,0.4487804878048962,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
IRN,"Iran, Islamic Rep.",76.855,74.141,2.7139999999999986,73.752,3.1030000000000086,76.799,0.055999999999997385,3.1030000000000086,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
IRQ,Iraq,71.245,69.651,1.5940000000000083,70.704,0.541000000000011,72.037,-0.7920000000000016,1.5940000000000083,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ISL,Iceland,83.1634146341463,83.0634146341463,0.10000000000000853,83.1658536585366,-0.0024390243902985276,82.119512195122,1.0439024390243077,1.0439024390243077,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ISR,Israel,82.8048780487805,82.6487804878049,0.15609756097559568,82.5,0.30487804878049474,82.7,0.1048780487804919,0.30487804878049474,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
ITA,Italy,83.4975609756098,82.1951219512195,1.3024390243902957,82.6463414634146,0.8512195121952004,82.7,0.7975609756097981,1.3024390243902957,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
JAM,Jamaica,71.532,71.452,0.0799999999999983,69.085,2.4470000000000027,71.481,0.05100000000000193,2.4470000000000027,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
JOR,Jordan,76.865,75.583,1.2819999999999965,74.204,2.6610000000000014,77.088,-0.22299999999999898,2.6610000000000014,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
JPN,Japan,84.3563414634146,84.56,-0.203658536585408,84.4456097560976,-0.08926829268300196,83.9963414634146,0.35999999999999943,0.35999999999999943,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KAZ,Kazakhstan,73.658,71.195,2.463000000000008,70.131,3.527000000000001,73.503,0.15500000000000114,3.527000000000001,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KEN,Kenya,62.939,61.596,1.3430000000000035,61.225,1.7139999999999986,63.549,-0.6099999999999994,1.7139999999999986,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KGZ,Kyrgyz Republic,71.6,71.8,-0.20000000000000284,71.9,-0.30000000000001137,72.0487804878049,-0.4487804878049104,-0.20000000000000284,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KHM,Cambodia,70.127,70.059,0.06799999999999784,69.301,0.8259999999999934,70.528,-0.40100000000001046,0.8259999999999934,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KIR,Kiribati,65.866,65.205,0.6610000000000014,64.148,1.7180000000000035,66.269,-0.4030000000000058,1.7180000000000035,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KNA,St. Kitts and Nevis,71.54,71.181,0.35900000000000887,69.271,2.2690000000000055,70.313,1.2270000000000039,2.2690000000000055,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KOR,"Korea, Rep.",83.2268292682927,83.4268292682927,-0.20000000000000284,83.5268292682927,-0.29999999999999716,82.6804878048781,0.5463414634146062,0.5463414634146062,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
KWT,Kuwait,81.969756097561,78.7609756097561,3.2087804878049013,78.7365853658537,3.233170731707304,80.5878048780488,1.381951219512203,3.233170731707304,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LAC,Latin America & Caribbean (excluding high income),75.0513524613511,72.8759217271338,2.1754307342173007,71.4377016432982,3.6136508180529034,74.4897262626476,0.5616261987035074,3.6136508180529034,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LAO,Lao PDR,67.911,68.339,-0.42799999999999727,67.807,0.1039999999999992,68.715,-0.804000000000002,0.1039999999999992,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LBN,Lebanon,78.208,76.299,1.9089999999999918,73.65,4.557999999999993,78.003,0.2049999999999983,4.557999999999993,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LBR,Liberia,61.232,61.267,-0.035000000000003695,61.166,0.0660000000000025,61.934,-0.7019999999999982,0.0660000000000025,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LBY,Libya,72.941,72.388,0.5529999999999973,72.062,0.8790000000000049,74.462,-1.5210000000000008,0.8790000000000049,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LCA,St. Lucia,72.249,72.308,-0.05900000000001171,69.119,3.1299999999999955,72.67,-0.4210000000000065,3.1299999999999955,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LCN,Latin America & Caribbean,75.2042598654921,73.1889367681402,2.01532309735191,71.8141762189306,3.390083646561507,74.6472095421659,0.5570503233262087,3.390083646561507,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LDC,Least developed countries: UN classification,64.9725014356556,64.8324945516306,0.1400068840249986,64.2674143744269,0.7050870612286957,65.7632017862259,-0.7907003505703045,0.7050870612286957,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LIE,Liechtenstein,84.1609756097561,81.6585365853659,2.502439024390199,84.4024390243902,-0.24146341463411147,84.1219512195122,0.03902439024389537,2.502439024390199,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LKA,Sri Lanka,76.698,76.928,-0.23000000000000398,76.278,0.4199999999999875,77.3,-0.6020000000000039,0.4199999999999875,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LMY,Low & middle income,71.3694923345361,70.7483566757416,0.6211356587945005,69.6714349467729,1.6980573877631997,71.6849259477066,-0.315433613170498,1.6980573877631997,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LSO,Lesotho,55.249,55.133,0.11599999999999966,54.209,1.0399999999999991,56.812,-1.5629999999999953,1.0399999999999991,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LTE,Late-demographic dividend,76.9979606258316,76.6935638074913,0.30439681834029386,76.3060136977083,0.6919469281233006,76.954367313865,0.043593311966589,0.6919469281233006,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LTU,Lithuania,76.2829268292683,75.0292682926829,1.2536585365854052,74.0365853658537,2.246341463414609,75.6439024390244,0.6390243902439039,2.246341463414609,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LUX,Luxembourg,82.6390243902439,82.1439024390244,0.4951219512195024,82.5975609756098,0.04146341463410863,82.9463414634147,-0.30731707317079326,0.4951219512195024,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LVA,Latvia,75.3878048780488,75.1853658536585,0.20243902439030137,72.9804878048781,2.4073170731707023,74.2780487804878,1.1097560975610037,2.4073170731707023,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MAC,"Macao SAR, China",83.9292682926829,84.1292682926829,-0.19999999999998863,83.7292682926829,0.20000000000000284,83.0804878048781,0.8487804878048024,0.8487804878048024,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MAF,St. Martin (French part),80.078,80.085,-0.006999999999990791,80.206,-0.1280000000000001,80.236,-0.15800000000000125,-0.006999999999990791,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MAR,Morocco,74.245,73.133,1.112000000000009,73.385,0.8599999999999994,75.161,-0.9159999999999968,1.112000000000009,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MCO,Monaco,86.151,86.089,0.06199999999999761,85.113,1.0379999999999967,85.746,0.40500000000000114,1.0379999999999967,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MDA,Moldova,70.181,69.914,0.2669999999999959,68.991,1.1899999999999977,71.546,-1.365000000000009,1.1899999999999977,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MDG,Madagascar,63.504,62.706,0.7979999999999947,62.516,0.9879999999999995,63.068,0.43599999999999994,0.9879999999999995,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MDV,Maldives,79.707,78.713,0.9939999999999998,78.052,1.654999999999987,80.76,-1.0530000000000115,1.654999999999987,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MEA,"Middle East, North Africa, Afghanistan & Pakistan",71.2438695042576,69.9110789555644,1.3327905486931968,69.7113193479505,1.53255015630711,71.6917293154863,-0.447859811228696,1.53255015630711,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MEX,Mexico,74.53,70.449,4.081000000000003,69.75,4.780000000000001,73.973,0.5570000000000022,4.780000000000001,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MHL,Marshall Islands,66.047,65.387,0.6599999999999966,65.421,0.6259999999999906,66.725,-0.6779999999999973,0.6599999999999966,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MIC,Middle income,72.1892666738243,71.5211164808267,0.6681501929976008,70.3953530328654,1.7939136409589054,72.5172020330295,-0.327935359205199,1.7939136409589054,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MKD,North Macedonia,76.6024390243903,74.3951219512195,2.207317073170813,73.2463414634146,3.356097560975712,74.4248780487805,2.1775609756098078,3.356097560975712,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
