iso3,country,model_version,observed_shock_burden,predicted_shock_burden,residual_observed_minus_expected,n_model_sample,n_candidate_validation_countries,missing_count_due_to_model_covariates,missing_rate_due_to_model_covariates,cv_rmse,prediction_interval_low,prediction_interval_high
GRC,Greece,ridge,3676.7937,4266.202404657772,-589.4087046577715,106,108,2,0.01851851851851849,1764.982016555163,3618.3353956070046,4897.487940549287
OMN,Oman,ridge,958.591,981.3805867990079,-22.789586799007907,106,108,2,0.01851851851851849,1764.982016555163,245.51752482087377,1830.4034522429688
CRI,Costa Rica,ridge,1545.6193,1349.6692901299089,195.9500098700912,106,108,2,0.01851851851851849,1764.982016555163,548.6932538982553,1999.554288350701
BRN,Brunei Darussalam,ridge,1141.6431,229.10230933067328,912.5407906693267,106,108,2,0.01851851851851849,1764.982016555163,-454.4603084996207,909.6025578514793
EST,Estonia,ridge,3296.8997,4306.840884248152,-1009.9411842481522,106,108,2,0.01851851851851849,1764.982016555163,3723.880366686908,5023.389410813249
KOR,"Korea, Rep.",ridge,1248.7174,1656.5742160619966,-407.8568160619966,106,108,2,0.01851851851851849,1764.982016555163,1149.2295615684438,2168.066426971562
LTU,Lithuania,ridge,8358.042,4641.0810579965655,3716.960942003434,106,108,2,0.01851851851851849,1764.982016555163,3816.359477760267,5478.688888076791
ATG,Antigua and Barbuda,ridge,-654.30273,1199.8263277701963,-1854.1290577701961,106,108,2,0.01851851851851849,1764.982016555163,347.88278220932574,1882.6074258171438
COL,Colombia,ridge,3685.9177,2429.738410504582,1256.1792894954178,106,108,2,0.01851851851851849,1764.982016555163,1653.8577631235353,3056.343845009856
KAZ,Kazakhstan,ridge,4240.0146,4081.399851620132,158.61474837986862,106,108,2,0.01851851851851849,1764.982016555163,2917.459028050631,5465.972366411584
ROU,Romania,ridge,5864.2363,4361.324726500807,1502.9115734991929,106,108,2,0.01851851851851849,1764.982016555163,3712.5607034988175,5079.184392482469
SMR,San Marino,ridge,3935.886,4036.238523111445,-100.35252311144495,106,108,2,0.01851851851851849,1764.982016555163,3279.2133480340194,4784.337296083436
SYC,Seychelles,ridge,-546.97345,633.4835097126017,-1180.4569597126017,106,108,2,0.01851851851851849,1764.982016555163,167.33423640108862,1258.7054885065952
RUS,Russian Federation,ridge,8749.637,4779.103764438648,3970.5332355613527,106,108,2,0.01851851851851849,1764.982016555163,3561.2750659108765,6169.063033565354
CHL,Chile,ridge,3120.594,2342.1399697564534,778.4540302435466,106,108,2,0.01851851851851849,1764.982016555163,1717.6413407324023,2915.3622099993454
TUR,Turkiye,ridge,2705.4653,3439.957166574424,-734.491866574424,106,108,2,0.01851851851851849,1764.982016555163,2776.074165460814,4012.5532153205504
BRA,Brazil,ridge,3766.584,3149.571639718035,617.0123602819649,106,108,2,0.01851851851851849,1764.982016555163,2462.211373416002,3893.5140426340536
SRB,Serbia,ridge,8464.41,5838.438624642402,2625.971375357598,106,108,2,0.01851851851851849,1764.982016555163,4911.35641210688,6665.078410985894
MKD,North Macedonia,ridge,7957.562,4783.432165255891,3174.129834744109,106,108,2,0.01851851851851849,1764.982016555163,4022.3937343952593,5431.64015195049
CYP,Cyprus,ridge,1689.024,2622.0508564244697,-933.0268564244698,106,108,2,0.01851851851851849,1764.982016555163,1747.7140329917318,3287.137443315428
BGR,Bulgaria,ridge,10165.963,5386.532103044462,4779.430896955538,106,108,2,0.01851851851851849,1764.982016555163,4400.197008920147,6419.727283441825
SGP,Singapore,ridge,972.30634,188.71146438190408,783.5948756180959,106,108,2,0.01851851851851849,1764.982016555163,-1046.4752342255763,1088.7613884885957
LVA,Latvia,ridge,5407.656,5248.10665831314,159.54934168686032,106,108,2,0.01851851851851849,1764.982016555163,4347.760715539914,6337.126489394082
JOR,Jordan,ridge,1475.2865,1186.945466028063,288.3410339719369,106,108,2,0.01851851851851849,1764.982016555163,660.4856760613355,1768.443838110749
NIC,Nicaragua,ridge,2660.4993,1448.8451845324514,1211.6541154675485,106,108,2,0.01851851851851849,1764.982016555163,691.7751988444124,2372.7413653776957
TUN,Tunisia,ridge,2412.1658,1690.619398121018,721.5464018789821,106,108,2,0.01851851851851849,1764.982016555163,1150.8166394664024,2224.4768670677454
IRN,"Iran, Islamic Rep.",ridge,3064.1272,2845.2194563655967,218.90774363440323,106,108,2,0.01851851851851849,1764.982016555163,2242.3000809702157,3453.124948991959
VCT,St. Vincent and the Grenadines,ridge,1232.5092,3513.4819577366884,-2280.9727577366884,106,108,2,0.01851851851851849,1764.982016555163,2651.3769089075627,4631.51457414202
ALB,Albania,ridge,5970.3384,4208.4156491874255,1761.9227508125741,106,108,2,0.01851851851851849,1764.982016555163,3369.083179913849,4876.994438194881
UZB,Uzbekistan,ridge,1438.2266,3040.913598548166,-1602.6869985481662,106,108,2,0.01851851851851849,1764.982016555163,2270.3258536208527,4187.53004589574
KNA,St. Kitts and Nevis,ridge,4525.9116,1791.8590802797687,2734.0525197202314,106,108,2,0.01851851851851849,1764.982016555163,1143.7503014821546,2470.0909232714334
ECU,Ecuador,ridge,4378.3784,2532.8616682335974,1845.5167317664022,106,108,2,0.01851851851851849,1764.982016555163,1784.6111732916788,3160.4972682382363
