iso3,country,profile,profile_probability,n_bootstrap,coverage_count,missing_count,missing_rate
CRI,Costa Rica,structurally vulnerable systems,0.0,1000,106,0,0.0
CRI,Costa Rica,uncertain / data-limited systems,1.0,1000,106,0,0.0
BRN,Brunei Darussalam,effective converters,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,capacity under-realizers,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,adaptive over-performers,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,structurally vulnerable systems,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,uncertain / data-limited systems,1.0,1000,106,0,0.0
EST,Estonia,effective converters,0.0,1000,106,0,0.0
EST,Estonia,capacity under-realizers,1.0,1000,106,0,0.0
EST,Estonia,adaptive over-performers,0.0,1000,106,0,0.0
EST,Estonia,structurally vulnerable systems,0.0,1000,106,0,0.0
EST,Estonia,uncertain / data-limited systems,0.0,1000,106,0,0.0
KOR,"Korea, Rep.",effective converters,0.941,1000,106,0,0.0
KOR,"Korea, Rep.",capacity under-realizers,0.059,1000,106,0,0.0
KOR,"Korea, Rep.",adaptive over-performers,0.0,1000,106,0,0.0
KOR,"Korea, Rep.",structurally vulnerable systems,0.0,1000,106,0,0.0
KOR,"Korea, Rep.",uncertain / data-limited systems,0.0,1000,106,0,0.0
LTU,Lithuania,effective converters,0.0,1000,106,0,0.0
LTU,Lithuania,capacity under-realizers,0.0,1000,106,0,0.0
LTU,Lithuania,adaptive over-performers,0.0,1000,106,0,0.0
LTU,Lithuania,structurally vulnerable systems,0.0,1000,106,0,0.0
LTU,Lithuania,uncertain / data-limited systems,1.0,1000,106,0,0.0
ATG,Antigua and Barbuda,effective converters,0.0,1000,106,0,0.0
ATG,Antigua and Barbuda,capacity under-realizers,0.0,1000,106,0,0.0
ATG,Antigua and Barbuda,adaptive over-performers,0.0,1000,106,0,0.0
ATG,Antigua and Barbuda,structurally vulnerable systems,0.0,1000,106,0,0.0
ATG,Antigua and Barbuda,uncertain / data-limited systems,1.0,1000,106,0,0.0
COL,Colombia,effective converters,0.0,1000,106,0,0.0
COL,Colombia,capacity under-realizers,1.0,1000,106,0,0.0
COL,Colombia,adaptive over-performers,0.0,1000,106,0,0.0
COL,Colombia,structurally vulnerable systems,0.0,1000,106,0,0.0
COL,Colombia,uncertain / data-limited systems,0.0,1000,106,0,0.0
KAZ,Kazakhstan,effective converters,0.0,1000,106,0,0.0
KAZ,Kazakhstan,capacity under-realizers,1.0,1000,106,0,0.0
KAZ,Kazakhstan,adaptive over-performers,0.0,1000,106,0,0.0
KAZ,Kazakhstan,structurally vulnerable systems,0.0,1000,106,0,0.0
KAZ,Kazakhstan,uncertain / data-limited systems,0.0,1000,106,0,0.0
ROU,Romania,effective converters,0.0,1000,106,0,0.0
ROU,Romania,capacity under-realizers,1.0,1000,106,0,0.0
ROU,Romania,adaptive over-performers,0.0,1000,106,0,0.0
ROU,Romania,structurally vulnerable systems,0.0,1000,106,0,0.0
ROU,Romania,uncertain / data-limited systems,0.0,1000,106,0,0.0
SMR,San Marino,effective converters,0.0,1000,106,0,0.0
SMR,San Marino,capacity under-realizers,0.0,1000,106,0,0.0
SMR,San Marino,adaptive over-performers,0.0,1000,106,0,0.0
SMR,San Marino,structurally vulnerable systems,0.0,1000,106,0,0.0
SMR,San Marino,uncertain / data-limited systems,1.0,1000,106,0,0.0
SYC,Seychelles,effective converters,0.0,1000,106,0,0.0
SYC,Seychelles,capacity under-realizers,0.0,1000,106,0,0.0
SYC,Seychelles,adaptive over-performers,0.0,1000,106,0,0.0
SYC,Seychelles,structurally vulnerable systems,0.0,1000,106,0,0.0
SYC,Seychelles,uncertain / data-limited systems,1.0,1000,106,0,0.0
RUS,Russian Federation,effective converters,0.0,1000,106,0,0.0
RUS,Russian Federation,capacity under-realizers,0.0,1000,106,0,0.0
RUS,Russian Federation,adaptive over-performers,0.0,1000,106,0,0.0
RUS,Russian Federation,structurally vulnerable systems,0.0,1000,106,0,0.0
RUS,Russian Federation,uncertain / data-limited systems,1.0,1000,106,0,0.0
CHL,Chile,effective converters,0.0,1000,106,0,0.0
CHL,Chile,capacity under-realizers,1.0,1000,106,0,0.0
CHL,Chile,adaptive over-performers,0.0,1000,106,0,0.0
CHL,Chile,structurally vulnerable systems,0.0,1000,106,0,0.0
CHL,Chile,uncertain / data-limited systems,0.0,1000,106,0,0.0
TUR,Turkiye,effective converters,0.0,1000,106,0,0.0
TUR,Turkiye,capacity under-realizers,0.0,1000,106,0,0.0
TUR,Turkiye,adaptive over-performers,0.0,1000,106,0,0.0
TUR,Turkiye,structurally vulnerable systems,0.0,1000,106,0,0.0
TUR,Turkiye,uncertain / data-limited systems,1.0,1000,106,0,0.0
BRA,Brazil,effective converters,0.0,1000,106,0,0.0
BRA,Brazil,capacity under-realizers,0.0,1000,106,0,0.0
BRA,Brazil,adaptive over-performers,0.011,1000,106,0,0.0
BRA,Brazil,structurally vulnerable systems,0.989,1000,106,0,0.0
BRA,Brazil,uncertain / data-limited systems,0.0,1000,106,0,0.0
SRB,Serbia,effective converters,0.0,1000,106,0,0.0
SRB,Serbia,capacity under-realizers,0.0,1000,106,0,0.0
SRB,Serbia,adaptive over-performers,0.0,1000,106,0,0.0
SRB,Serbia,structurally vulnerable systems,0.0,1000,106,0,0.0
