iso3,country,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,gap_interpretation,prediction_interval_low,prediction_interval_high,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
ROU,Romania,5864.2363,4361.324726500807,1502.9115734991929,worse-than-expected shock burden / capacity under-realization,3712.5607034988175,5079.184392482469,106,87,0.4507772020725389
SMR,San Marino,3935.886,4036.238523111445,-100.35252311144495,better-than-expected shock burden / adaptive over-performance,3279.2133480340194,4784.337296083436,106,87,0.4507772020725389
SYC,Seychelles,-546.97345,633.4835097126017,-1180.4569597126017,better-than-expected shock burden / adaptive over-performance,167.33423640108862,1258.7054885065952,106,87,0.4507772020725389
RUS,Russian Federation,8749.637,4779.103764438648,3970.5332355613527,worse-than-expected shock burden / capacity under-realization,3561.2750659108765,6169.063033565354,106,87,0.4507772020725389
CHL,Chile,3120.594,2342.1399697564534,778.4540302435466,worse-than-expected shock burden / capacity under-realization,1717.6413407324023,2915.3622099993454,106,87,0.4507772020725389
TUR,Turkiye,2705.4653,3439.957166574424,-734.491866574424,better-than-expected shock burden / adaptive over-performance,2776.074165460814,4012.5532153205504,106,87,0.4507772020725389
BRA,Brazil,3766.584,3149.571639718035,617.0123602819649,worse-than-expected shock burden / capacity under-realization,2462.211373416002,3893.5140426340536,106,87,0.4507772020725389
SRB,Serbia,8464.41,5838.438624642402,2625.971375357598,worse-than-expected shock burden / capacity under-realization,4911.35641210688,6665.078410985894,106,87,0.4507772020725389
MKD,North Macedonia,7957.562,4783.432165255891,3174.129834744109,worse-than-expected shock burden / capacity under-realization,4022.3937343952593,5431.64015195049,106,87,0.4507772020725389
CYP,Cyprus,1689.024,2622.0508564244697,-933.0268564244698,better-than-expected shock burden / adaptive over-performance,1747.7140329917318,3287.137443315428,106,87,0.4507772020725389
BGR,Bulgaria,10165.963,5386.532103044462,4779.430896955538,worse-than-expected shock burden / capacity under-realization,4400.197008920147,6419.727283441825,106,87,0.4507772020725389
SGP,Singapore,972.30634,188.71146438190408,783.5948756180959,worse-than-expected shock burden / capacity under-realization,-1046.4752342255763,1088.7613884885957,106,87,0.4507772020725389
LVA,Latvia,5407.656,5248.10665831314,159.54934168686032,worse-than-expected shock burden / capacity under-realization,4347.760715539914,6337.126489394082,106,87,0.4507772020725389
JOR,Jordan,1475.2865,1186.945466028063,288.3410339719369,worse-than-expected shock burden / capacity under-realization,660.4856760613355,1768.443838110749,106,87,0.4507772020725389
NIC,Nicaragua,2660.4993,1448.8451845324514,1211.6541154675485,worse-than-expected shock burden / capacity under-realization,691.7751988444124,2372.7413653776957,106,87,0.4507772020725389
TUN,Tunisia,2412.1658,1690.619398121018,721.5464018789821,worse-than-expected shock burden / capacity under-realization,1150.8166394664024,2224.4768670677454,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",3064.1272,2845.2194563655967,218.90774363440323,worse-than-expected shock burden / capacity under-realization,2242.3000809702157,3453.124948991959,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,1232.5092,3513.4819577366884,-2280.9727577366884,better-than-expected shock burden / adaptive over-performance,2651.3769089075627,4631.51457414202,106,87,0.4507772020725389
ALB,Albania,5970.3384,4208.4156491874255,1761.9227508125741,worse-than-expected shock burden / capacity under-realization,3369.083179913849,4876.994438194881,106,87,0.4507772020725389
UZB,Uzbekistan,1438.2266,3040.913598548166,-1602.6869985481662,better-than-expected shock burden / adaptive over-performance,2270.3258536208527,4187.53004589574,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,4525.9116,1791.8590802797687,2734.0525197202314,worse-than-expected shock burden / capacity under-realization,1143.7503014821546,2470.0909232714334,106,87,0.4507772020725389
ECU,Ecuador,4378.3784,2532.8616682335974,1845.5167317664022,worse-than-expected shock burden / capacity under-realization,1784.6111732916788,3160.4972682382363,106,87,0.4507772020725389
BIH,Bosnia and Herzegovina,7126.2676,5583.958279612745,1542.309320387255,worse-than-expected shock burden / capacity under-realization,4722.423664385325,6289.841911881929,106,87,0.4507772020725389
PSE,West Bank and Gaza,922.9372,1573.9010525240276,-650.9638525240276,better-than-expected shock burden / adaptive over-performance,913.1604065686537,2564.3498205453375,106,87,0.4507772020725389
BRB,Barbados,1115.5847,2970.173280064269,-1854.5885800642689,better-than-expected shock burden / adaptive over-performance,2157.499291914214,3921.7788627526957,106,87,0.4507772020725389
THA,Thailand,2082.8452,3096.455734564207,-1013.6105345642068,better-than-expected shock burden / adaptive over-performance,2506.257295350841,3643.0901775995317,106,87,0.4507772020725389
MDA,Moldova,5433.009,5254.079734261424,178.92926573857585,worse-than-expected shock burden / capacity under-realization,4369.177538353331,6108.425764594906,106,87,0.4507772020725389
