iso3,country,bottleneck_block,bottleneck_probability,n_simulations,coverage_count,missing_count,missing_rate
POL,Poland,capacity,1.0,1000,106,0,0.0
POL,Poland,preparedness,0.0,1000,106,0,0.0
POL,Poland,vulnerability,0.0,1000,106,0,0.0
POL,Poland,equity_access,0.0,1000,106,0,0.0
GRC,Greece,capacity,0.995,1000,106,0,0.0
GRC,Greece,preparedness,0.0,1000,106,0,0.0
GRC,Greece,vulnerability,0.0,1000,106,0,0.0
GRC,Greece,equity_access,0.005,1000,106,0,0.0
OMN,Oman,capacity,1.0,1000,106,0,0.0
OMN,Oman,preparedness,0.0,1000,106,0,0.0
OMN,Oman,vulnerability,0.0,1000,106,0,0.0
OMN,Oman,equity_access,0.0,1000,106,0,0.0
CRI,Costa Rica,capacity,1.0,1000,106,0,0.0
CRI,Costa Rica,preparedness,0.0,1000,106,0,0.0
CRI,Costa Rica,vulnerability,0.0,1000,106,0,0.0
CRI,Costa Rica,equity_access,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,capacity,1.0,1000,106,0,0.0
BRN,Brunei Darussalam,preparedness,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,vulnerability,0.0,1000,106,0,0.0
BRN,Brunei Darussalam,equity_access,0.0,1000,106,0,0.0
EST,Estonia,capacity,1.0,1000,106,0,0.0
EST,Estonia,preparedness,0.0,1000,106,0,0.0
EST,Estonia,vulnerability,0.0,1000,106,0,0.0
EST,Estonia,equity_access,0.0,1000,106,0,0.0
KOR,"Korea, Rep.",capacity,0.984,1000,106,0,0.0
KOR,"Korea, Rep.",preparedness,0.0,1000,106,0,0.0
KOR,"Korea, Rep.",vulnerability,0.001,1000,106,0,0.0
KOR,"Korea, Rep.",equity_access,0.015,1000,106,0,0.0
LTU,Lithuania,capacity,0.316,1000,106,0,0.0
LTU,Lithuania,preparedness,0.0,1000,106,0,0.0
LTU,Lithuania,vulnerability,0.63,1000,106,0,0.0
LTU,Lithuania,equity_access,0.054,1000,106,0,0.0
ATG,Antigua and Barbuda,capacity,1.0,1000,106,0,0.0
ATG,Antigua and Barbuda,preparedness,0.0,1000,106,0,0.0
ATG,Antigua and Barbuda,vulnerability,0.0,1000,106,0,0.0
ATG,Antigua and Barbuda,equity_access,0.0,1000,106,0,0.0
COL,Colombia,capacity,1.0,1000,106,0,0.0
COL,Colombia,preparedness,0.0,1000,106,0,0.0
COL,Colombia,vulnerability,0.0,1000,106,0,0.0
COL,Colombia,equity_access,0.0,1000,106,0,0.0
KAZ,Kazakhstan,capacity,1.0,1000,106,0,0.0
KAZ,Kazakhstan,preparedness,0.0,1000,106,0,0.0
KAZ,Kazakhstan,vulnerability,0.0,1000,106,0,0.0
KAZ,Kazakhstan,equity_access,0.0,1000,106,0,0.0
ROU,Romania,capacity,0.999,1000,106,0,0.0
ROU,Romania,preparedness,0.0,1000,106,0,0.0
ROU,Romania,vulnerability,0.001,1000,106,0,0.0
ROU,Romania,equity_access,0.0,1000,106,0,0.0
SMR,San Marino,capacity,0.987,1000,106,0,0.0
SMR,San Marino,preparedness,0.0,1000,106,0,0.0
SMR,San Marino,vulnerability,0.013,1000,106,0,0.0
SMR,San Marino,equity_access,0.0,1000,106,0,0.0
SYC,Seychelles,capacity,1.0,1000,106,0,0.0
