iso3,country,conversion_profile,peer_group_type,peer_group_value,block,country_block_score,peer_median_block_score,block_gap_country_minus_peer,negative_gap_is_bottleneck,n_peer_countries,n_validation_countries,expanded_feature_missing_rate
UZB,Uzbekistan,adaptive over-performers,same_income_group,Lower middle income,vulnerability,0.6146409081395038,0.6585748480252485,-0.04393393988574468,True,13,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_region,Europe & Central Asia,vulnerability,0.6146409081395038,0.7031982734362339,-0.08855736529673008,True,49,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_capacity_quartile,Q2,vulnerability,0.6146409081395038,0.6964128128966902,-0.08177190475718643,True,26,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_income_group,Lower middle income,equity_access,0.7072929764830225,0.7072929764830225,0.0,True,13,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_region,Europe & Central Asia,equity_access,0.7072929764830225,0.7530172216525302,-0.04572424516950768,True,49,106,0.0384615384615384
UZB,Uzbekistan,adaptive over-performers,same_capacity_quartile,Q2,equity_access,0.7072929764830225,0.7224951049541598,-0.015202128471137333,True,26,106,0.0384615384615384
FJI,Fiji,adaptive over-performers,same_income_group,Upper middle income,capacity,0.1718859030867164,0.3467191820439355,-0.1748332789572191,True,37,106,0.0
FJI,Fiji,adaptive over-performers,same_region,East Asia & Pacific,capacity,0.1718859030867164,0.4108830413712889,-0.2389971382845725,True,11,106,0.0
FJI,Fiji,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,capacity,0.1718859030867164,0.2638600782104646,-0.0919741751237482,True,27,106,0.0
FJI,Fiji,adaptive over-performers,same_income_group,Upper middle income,preparedness,0.9193966862730744,0.8513215977301716,0.06807508854290278,True,37,106,0.0
FJI,Fiji,adaptive over-performers,same_region,East Asia & Pacific,preparedness,0.9193966862730744,0.9193966862730744,0.0,True,11,106,0.0
FJI,Fiji,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,preparedness,0.9193966862730744,0.8258192258773593,0.09357746039571502,True,27,106,0.0
FJI,Fiji,adaptive over-performers,same_income_group,Upper middle income,vulnerability,0.553064783244404,0.681467035750128,-0.128402252505724,True,37,106,0.0
FJI,Fiji,adaptive over-performers,same_region,East Asia & Pacific,vulnerability,0.553064783244404,0.7014535847653254,-0.14838880152092138,True,11,106,0.0
FJI,Fiji,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,vulnerability,0.553064783244404,0.6415149075582738,-0.08845012431386978,True,27,106,0.0
FJI,Fiji,adaptive over-performers,same_income_group,Upper middle income,equity_access,0.8271194706688227,0.729348274020286,0.09777119664853673,True,37,106,0.0
FJI,Fiji,adaptive over-performers,same_region,East Asia & Pacific,equity_access,0.8271194706688227,0.7695477133590953,0.05757175730972741,True,11,106,0.0
FJI,Fiji,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,equity_access,0.8271194706688227,0.7061315471456461,0.12098792352317667,True,27,106,0.0
TJK,Tajikistan,adaptive over-performers,same_income_group,Lower middle income,capacity,0.3499546768118913,0.3138518481233711,0.03610282868852022,True,13,106,0.0
TJK,Tajikistan,adaptive over-performers,same_region,Europe & Central Asia,capacity,0.3499546768118913,0.592121438040106,-0.24216676122821468,True,49,106,0.0
TJK,Tajikistan,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,capacity,0.3499546768118913,0.2638600782104646,0.08609459860142671,True,27,106,0.0
TJK,Tajikistan,adaptive over-performers,same_income_group,Lower middle income,preparedness,0.9214354407742822,0.9214354407742822,0.0,True,13,106,0.0
TJK,Tajikistan,adaptive over-performers,same_region,Europe & Central Asia,preparedness,0.9214354407742822,0.9240148867420244,-0.0025794459677421777,True,49,106,0.0
TJK,Tajikistan,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,preparedness,0.9214354407742822,0.8258192258773593,0.09561621489692285,True,27,106,0.0
TJK,Tajikistan,adaptive over-performers,same_income_group,Lower middle income,vulnerability,0.6826989523373221,0.6585748480252485,0.02412410431207368,True,13,106,0.0
TJK,Tajikistan,adaptive over-performers,same_region,Europe & Central Asia,vulnerability,0.6826989523373221,0.7031982734362339,-0.020499321098911727,True,49,106,0.0
TJK,Tajikistan,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,vulnerability,0.6826989523373221,0.6415149075582738,0.04118404477904836,True,27,106,0.0
TJK,Tajikistan,adaptive over-performers,same_income_group,Lower middle income,equity_access,0.5889345817032028,0.7072929764830225,-0.11835839477981969,True,13,106,0.0
TJK,Tajikistan,adaptive over-performers,same_region,Europe & Central Asia,equity_access,0.5889345817032028,0.7530172216525302,-0.16408263994932737,True,49,106,0.0
TJK,Tajikistan,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,equity_access,0.5889345817032028,0.7061315471456461,-0.11719696544244329,True,27,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_income_group,Upper middle income,capacity,0.1748414442188375,0.3467191820439355,-0.171877737825098,True,37,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_region,Sub-Saharan Africa ,capacity,0.1748414442188375,0.3330310308730893,-0.15818958665425178,True,5,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,capacity,0.1748414442188375,0.2638600782104646,-0.0890186339916271,True,27,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_income_group,Upper middle income,preparedness,0.8907404525592983,0.8513215977301716,0.03941885482912677,True,37,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_region,Sub-Saharan Africa ,preparedness,0.8907404525592983,0.8907404525592983,0.0,True,5,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,preparedness,0.8907404525592983,0.8258192258773593,0.064921226681939,True,27,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_income_group,Upper middle income,vulnerability,0.6685434249570065,0.681467035750128,-0.012923610793121543,True,37,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_region,Sub-Saharan Africa ,vulnerability,0.6685434249570065,0.6202816841723293,0.048261740784677154,True,5,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,vulnerability,0.6685434249570065,0.6415149075582738,0.027028517398732688,True,27,106,0.0
