iso3,country,region,income_group,score,rank,ranking_method,weighting_method,normalization_method,imputation_method,feature_missing_count,feature_missing_rate,n_countries_in_sample,n_indicators
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0.5816571359122058,100,marcos,critic,robust_minmax,knn,0,0.0,193,15
MDA,Moldova,Europe & Central Asia,Upper middle income,0.5810935201039774,101,marcos,critic,robust_minmax,knn,0,0.0,193,15
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.5745853829840059,102,marcos,critic,robust_minmax,knn,0,0.0,193,15
ALB,Albania,Europe & Central Asia,Upper middle income,0.5717044664250939,103,marcos,critic,robust_minmax,knn,0,0.0,193,15
KIR,Kiribati,East Asia & Pacific,Lower middle income,0.5708694092674215,104,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
LVA,Latvia,Europe & Central Asia,High income,0.5702750520720492,105,marcos,critic,robust_minmax,knn,0,0.0,193,15
ARM,Armenia,Europe & Central Asia,Upper middle income,0.5685964571595084,106,marcos,critic,robust_minmax,knn,0,0.0,193,15
GEO,Georgia,Europe & Central Asia,Upper middle income,0.5681986732527066,107,marcos,critic,robust_minmax,knn,0,0.0,193,15
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0.567424152322254,108,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.5627284710538671,109,marcos,critic,robust_minmax,knn,0,0.0,193,15
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0.5602155144826486,110,marcos,critic,robust_minmax,knn,0,0.0,193,15
SRB,Serbia,Europe & Central Asia,Upper middle income,0.5597613408873102,111,marcos,critic,robust_minmax,knn,0,0.0,193,15
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,0.5590711640499076,112,marcos,critic,robust_minmax,knn,0,0.0,193,15
HND,Honduras,Latin America & Caribbean ,Lower middle income,0.545793681402691,113,marcos,critic,robust_minmax,knn,0,0.0,193,15
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,0.5452330495128452,114,marcos,critic,robust_minmax,knn,0,0.0,193,15
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,0.5422337912216436,115,marcos,critic,robust_minmax,knn,0,0.0,193,15
MNE,Montenegro,Europe & Central Asia,Upper middle income,0.5399040456748874,116,marcos,critic,robust_minmax,knn,0,0.0,193,15
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,0.5391916042136062,117,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
