iso3,country,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_ci_low,conversion_efficiency_ci_high,conversion_efficiency_std,most_likely_profile,profile_stability_score,robustness_category
TJK,Tajikistan,1000,106,87,0.4507772020725389,0.9491283078257357,0.4086280470979954,1.6699814602140257,0.32339945702114353,adaptive over-performers,0.916,robust
MUS,Mauritius,1000,106,87,0.4507772020725389,0.610622216469639,0.17524424471350133,1.0594612172162523,0.22884785361098686,uncertain / data-limited systems,1.0,robust
ARM,Armenia,1000,106,87,0.4507772020725389,-1.8538681233138088,-2.282805236565752,-1.330685340441567,0.23962284157017527,uncertain / data-limited systems,1.0,robust
MEX,Mexico,1000,106,87,0.4507772020725389,-1.4726785960230995,-1.7814350843880706,-1.0953776368386146,0.1726575226207382,structurally vulnerable systems,0.963,robust
BHS,"Bahamas, The",1000,106,87,0.4507772020725389,0.28135224684359467,-0.1605796897779088,0.7870954048602032,0.2406920766929016,adaptive over-performers,0.864,robust
BTN,Bhutan,1000,106,87,0.4507772020725389,0.8833443607773144,0.370795079542064,1.4195038895900203,0.2735048622786819,uncertain / data-limited systems,1.0,robust
JAM,Jamaica,1000,106,87,0.4507772020725389,0.6735368009716425,0.19565110622836607,1.1038126525982148,0.22731612280186617,adaptive over-performers,0.936,robust
LBN,Lebanon,1000,106,87,0.4507772020725389,-0.3494486228845661,-0.7764818915061008,0.08187851637735778,0.22209639887281066,structurally vulnerable systems,0.924,robust
PRY,Paraguay,1000,106,87,0.4507772020725389,-0.6851915834129859,-1.0877083370985883,-0.2789479676420115,0.20549714742536085,structurally vulnerable systems,0.942,robust
FJI,Fiji,1000,106,87,0.4507772020725389,1.0647552136794283,0.48305220617057565,1.6664165650585336,0.3161943544386448,adaptive over-performers,0.86,robust
PER,Peru,1000,106,87,0.4507772020725389,-1.4225099400783174,-1.7487523905639357,-1.0563542243392405,0.17911447119676094,structurally vulnerable systems,0.975,robust
CPV,Cabo Verde,1000,106,87,0.4507772020725389,0.7497958245757856,0.3467929163033414,1.1675647828108136,0.213185893961152,adaptive over-performers,0.979,robust
MNG,Mongolia,1000,106,87,0.4507772020725389,2.4404699818711983,1.6078089174937844,3.2973218678986327,0.4320869850879876,adaptive over-performers,0.985,robust
SUR,Suriname,1000,106,87,0.4507772020725389,0.38603781019199535,-0.15120503327324541,1.0439432195738771,0.29501391256167536,adaptive over-performers,0.904,robust
EGY,"Egypt, Arab Rep.",1000,106,87,0.4507772020725389,-0.23798547043056636,-0.7115833123914419,0.25742519597788227,0.24294847326942054,structurally vulnerable systems,0.823,robust
AZE,Azerbaijan,1000,106,87,0.4507772020725389,0.06511833145093102,-0.3750142100081111,0.585393468142284,0.24780674737007685,adaptive over-performers,0.583,unstable
UKR,Ukraine,1000,106,87,0.4507772020725389,0.8968630398603445,0.3808167053720027,1.443471536989391,0.2741920258950453,uncertain / data-limited systems,1.0,robust
DOM,Dominican Republic,1000,106,87,0.4507772020725389,1.3613115247890992,0.9326067532502701,1.7806154036438373,0.2208629690102972,adaptive over-performers,0.999,robust
BOL,Bolivia,1000,106,87,0.4507772020725389,-1.2814335093654288,-1.794172899611361,-0.7405106035984319,0.28225575437099865,structurally vulnerable systems,1.0,robust
GTM,Guatemala,1000,106,87,0.4507772020725389,0.23270818135960197,-0.20785654958720817,0.7322660805429069,0.2466773655373873,adaptive over-performers,0.824,robust
PHL,Philippines,1000,106,87,0.4507772020725389,0.11835049389757031,-0.43496117897851,0.6783086518349346,0.2805341876487798,adaptive over-performers,0.66,unstable
ZAF,South Africa,1000,106,87,0.4507772020725389,-0.2140663757540566,-0.8854666023349894,0.7402874724987707,0.41204345202800835,uncertain / data-limited systems,1.0,robust
NAM,Namibia,1000,106,87,0.4507772020725389,1.4828137116558273,0.5649373956542272,2.635688293201992,0.5394515477493089,adaptive over-performers,1.0,robust
