iso3,country,conversion_profile,conversion_efficiency_zscore,realized_resilience_gap,main_bottleneck_block,evidence_variant,n,coverage_count,missing_count,missing_rate,source_provenance
COL,Colombia,capacity under-realizers,-0.781604416073713,1256.1792894954178,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ROU,Romania,capacity under-realizers,-0.9351231409706718,1502.9115734991929,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
HRV,Croatia,capacity under-realizers,-0.9834110417905212,1580.5189407244347,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
USA,United States,capacity under-realizers,-1.2162711675864122,1954.767168291395,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SVK,Slovak Republic,capacity under-realizers,-1.403125347198939,2255.0755413735355,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BLR,Belarus,capacity under-realizers,-2.934826273506603,4716.795231999199,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
DNK,Denmark,effective converters,1.4369633295580748,-2309.4592830255883,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
JPN,Japan,effective converters,1.4027544493100577,-2254.47944156019,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
LUX,Luxembourg,effective converters,1.2789940158889337,-2055.5741000275107,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
FIN,Finland,effective converters,1.095261278939026,-1760.282448378223,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
NZL,New Zealand,effective converters,1.0928834844424085,-1756.4609036941083,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SWE,Sweden,effective converters,1.0869609091047154,-1746.9422567587965,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ISL,Iceland,effective converters,1.0124193151295544,-1627.1404687546424,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
NOR,Norway,effective converters,0.8819371421389405,-1417.43207920569,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
FRA,France,effective converters,0.7365146975756199,-1183.7119781782535,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
DEU,Germany,effective converters,0.615078253921651,-988.5417074236598,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CAN,Canada,effective converters,0.5773724585910407,-927.9416926154032,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
AUS,Australia,effective converters,0.5395775635134479,-867.1984784411287,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
NLD,Netherlands,effective converters,0.4866469717607894,-782.1294693963337,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
URY,Uruguay,effective converters,0.4452804875803113,-715.646067258217,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
AND,Andorra,effective converters,0.4072528611044628,-654.5288117447537,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CHE,Switzerland,effective converters,0.3917916539711268,-629.6798628492759,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BEL,Belgium,effective converters,0.3690158846965657,-593.0750931260563,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
KOR,"Korea, Rep.",effective converters,0.2537716480645608,-407.8568160619966,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
IRL,Ireland,effective converters,0.1787699417382001,-287.3155445102425,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ISR,Israel,effective converters,0.0452100913801599,-72.66077225259141,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
DZA,Algeria,structurally vulnerable systems,-0.0257879676045457,41.44591580704992,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
PAN,Panama,structurally vulnerable systems,-0.1218147392945074,195.77826008932493,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
IRN,"Iran, Islamic Rep.",structurally vulnerable systems,-0.1362060818612195,218.90774363440323,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
EGY,"Egypt, Arab Rep.",structurally vulnerable systems,-0.2483728210133884,399.1799271015716,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
LBN,Lebanon,structurally vulnerable systems,-0.3017767585291441,485.0096881740485,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BRA,Brazil,structurally vulnerable systems,-0.3839098364391619,617.0123602819649,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
TUN,Tunisia,structurally vulnerable systems,-0.4489517211649329,721.5464018789821,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
PRY,Paraguay,structurally vulnerable systems,-0.662493602753887,1064.746726205999,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BIH,Bosnia and Herzegovina,structurally vulnerable systems,-0.9596367221199305,1542.309320387255,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ALB,Albania,structurally vulnerable systems,-1.0962818877303866,1761.922750812574,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ECU,Ecuador,structurally vulnerable systems,-1.1482947056593773,1845.5167317664025,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BOL,Bolivia,structurally vulnerable systems,-1.325734067260284,2130.69379397395,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
PER,Peru,structurally vulnerable systems,-1.4011048502138164,2251.828238242945,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MEX,Mexico,structurally vulnerable systems,-1.486708186644193,2389.408241789657,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
KNA,St. Kitts and Nevis,structurally vulnerable systems,-1.701148507271733,2734.0525197202314,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MKD,North Macedonia,structurally vulnerable systems,-1.9749679976206704,3174.129834744109,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ATG,Antigua and Barbuda,uncertain / data-limited systems,1.1536533611423352,-1854.129057770196,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
UKR,Ukraine,uncertain / data-limited systems,1.0824306028338924,-1739.6612373640155,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BTN,Bhutan,uncertain / data-limited systems,0.9503579149734344,-1527.3966035077842,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SYC,Seychelles,uncertain / data-limited systems,0.7344894000496776,-1180.4569597126017,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BLZ,Belize,uncertain / data-limited systems,0.6737376894803904,-1082.8180018854223,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MLT,Malta,uncertain / data-limited systems,0.6458199268653755,-1037.949121304886,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
THA,Thailand,uncertain / data-limited systems,0.6306762709903058,-1013.6105345642068,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MUS,Mauritius,uncertain / data-limited systems,0.5926717018181917,-952.5303362971296,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
TUR,Turkiye,uncertain / data-limited systems,0.4570064888710212,-734.491866574424,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
GRC,Greece,uncertain / data-limited systems,0.366734629590852,-589.4087046577715,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SMR,San Marino,uncertain / data-limited systems,0.0624401117610778,-100.35252311144497,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
OMN,Oman,uncertain / data-limited systems,0.0141798561969248,-22.789586799007907,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
LVA,Latvia,uncertain / data-limited systems,-0.0992728276026543,159.54934168686032,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MDA,Moldova,uncertain / data-limited systems,-0.1113311654121229,178.92926573857585,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MNE,Montenegro,uncertain / data-limited systems,-0.1155108656131252,185.64679793366489,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ZAF,South Africa,uncertain / data-limited systems,-0.117049907565842,188.12031597797068,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CRI,Costa Rica,uncertain / data-limited systems,-0.1219216033291474,195.9500098700912,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
JOR,Jordan,uncertain / data-limited systems,-0.1794080091690193,288.3410339719369,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SGP,Singapore,uncertain / data-limited systems,-0.4875587587834289,783.5948756180959,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BRN,Brunei Darussalam,uncertain / data-limited systems,-0.5677898989411297,912.5407906693268,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
NIC,Nicaragua,uncertain / data-limited systems,-0.7539005103194539,1211.6541154675483,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
GEO,Georgia,uncertain / data-limited systems,-1.0003330580650351,1607.7156734237342,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SRB,Serbia,uncertain / data-limited systems,-1.633899587921958,2625.971375357598,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
