iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
BGR,Bulgaria,Europe & Central Asia,High income,0.6854375852916174,66,68.5,46.95,111.1,0.2333333333333333,0.0,0.3341145833333332,0.6008706829887424,0.90834786272613,0.5947468983471923,0.637784897104405,1,0.0384615384615384,60,193,26
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,0.6850976690932676,67,57.0,37.0,77.05,0.45,0.0,0.20859375,0.4940855777944583,0.9435586540227514,0.5741700776532609,0.7285763669025999,9,0.3461538461538461,60,193,26
SGP,Singapore,East Asia & Pacific,High income,0.6846585060982541,68,66.5,48.0,116.0,0.0833333333333333,0.0,0.3541666666666667,0.4108830413712889,0.9415056150331502,0.7115127888790815,0.6747325791094959,1,0.0384615384615384,60,193,26
LVA,Latvia,Europe & Central Asia,High income,0.6788426652576671,69,73.0,54.95,109.0,0.0,0.0,0.2815104166666666,0.5032232979013287,0.928011666331225,0.6212809763928517,0.6628547204052629,1,0.0384615384615384,60,193,26
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6757023078644859,70,88.0,65.7,110.0,0.0,0.0,0.2307291666666666,0.3138518481233711,0.9418200451610784,0.7218043095294339,0.7253330286440602,1,0.0384615384615384,60,193,26
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,0.6740976553258002,71,83.5,56.55,114.0,0.05,0.0,0.29921875,0.2706416633866143,0.9554654121422552,0.7426474199142016,0.7276361258601298,4,0.1538461538461538,60,193,26
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6736728995848067,72,87.5,70.85,110.05,0.0,0.0,0.2041666666666667,0.25366575099988,0.9592596257996054,0.7339569865766812,0.7478092349630598,0,0.0,60,193,26
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.6716950825288099,73,90.0,71.9,107.0,0.0,0.0,0.1828124999999999,0.2899006188927754,0.979555809138539,0.7206501324705947,0.6966737696133306,2,0.0769230769230769,60,193,26
NRU,Nauru,East Asia & Pacific,High income,0.670929668447223,74,70.5,46.0,111.0,0.1166666666666666,0.0,0.3385416666666667,0.5668279441592471,0.8864385214919197,0.389373482358202,0.8410787257795229,3,0.1153846153846153,60,193,26
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,0.6701417723839488,75,71.5,50.0,84.05,0.0333333333333333,0.0,0.17734375,0.3606948551024671,0.9521916893872016,0.5932353937819079,0.7744451512642184,2,0.0769230769230769,60,193,26
ALB,Albania,Europe & Central Asia,Upper middle income,0.6696856726155633,76,83.5,73.95,92.05,0.0,0.0,0.0942708333333333,0.3345657943556133,0.9726193994126826,0.7797703899355044,0.5917871067584531,1,0.0384615384615384,60,193,26
