iso3,country,conversion_profile,conversion_efficiency_zscore,baseline_profile,baseline_conversion_efficiency,profile_changed_after_ghs,profile_agreement_after_ghs,efficiency_delta_after_ghs,n,coverage_count,missing_count,missing_rate,source_provenance
SVN,Slovenia,capacity under-realizers,0.07475490792085948,capacity under-realizers,0.1540796570156834,False,0.9716981132075472,-0.07932474909482393,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
NZL,New Zealand,effective converters,1.094217480588606,effective converters,1.0928834844424085,False,0.9716981132075472,0.001333996146197558,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CHE,Switzerland,effective converters,0.3533678521891038,effective converters,0.3917916539711268,False,0.9716981132075472,-0.03842380178202298,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
IRL,Ireland,effective converters,0.14885209565059093,effective converters,0.1787699417382001,False,0.9716981132075472,-0.029917846087609168,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
CAN,Canada,effective converters,0.5320653367548756,effective converters,0.5773724585910407,False,0.9716981132075472,-0.04530712183616514,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
NLD,Netherlands,effective converters,0.4204943922654987,effective converters,0.4866469717607894,False,0.9716981132075472,-0.06615257949529074,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
MDV,Maldives,capacity under-realizers,-0.5896187997040895,capacity under-realizers,-0.67968481209664,False,0.9716981132075472,0.09006601239255052,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
GBR,United Kingdom,capacity under-realizers,0.1550089125502415,capacity under-realizers,0.2436217840916513,False,0.9716981132075472,-0.08861287154140982,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
ESP,Spain,capacity under-realizers,0.19119887593088447,capacity under-realizers,0.2221367546696926,False,0.9716981132075472,-0.030937878738808128,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
SVK,Slovak Republic,capacity under-realizers,-1.3757400029111284,capacity under-realizers,-1.403125347198939,False,0.9716981132075472,0.027385344287810698,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
PRT,Portugal,capacity under-realizers,0.4419028558737404,capacity under-realizers,0.4586448090368129,False,0.9716981132075472,-0.016741953163072476,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
HRV,Croatia,capacity under-realizers,-0.9422010643579958,capacity under-realizers,-0.9834110417905212,False,0.9716981132075472,0.04120997743252541,106,106,87,0.4507772020725389,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
