iso3,country,region,income_group,potential_capacity_score,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,evidence_variant,outcome,observed_outcome,predicted_outcome,realized_resilience_gap,conversion_efficiency_zscore,observed_shock_burden,conversion_profile,main_bottleneck_block,n,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,missing_count,missing_rate,source_indicator,source_provenance,higher_is_worse
GBR,United Kingdom,Europe & Central Asia,High income,0.7855584803681768,0.7043249696725941,0.9193555687134758,0.7163281258832328,0.8022252572034044,0.0593749999999998,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.0373658536584998,0.9996980733572387,0.037667780301261056,-0.02300513967625425,1.0373658536584998,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
ESP,Spain,Europe & Central Asia,High income,0.7786480255688792,0.6449209188532831,0.9550424082252345,0.7745812685503448,0.7400475066466544,0.09375,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.5999999999999943,0.8915003098929187,0.7084996901070756,-0.4327075872572846,1.5999999999999943,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
SVK,Slovak Republic,Europe & Central Asia,High income,0.7754658787366955,0.5938029528903954,0.962316136506726,0.7173988313513748,0.8283455941982859,0.0942708333333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.8000000000000114,0.9674009521626216,-0.1674009521626102,0.10223809992620884,0.8000000000000114,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
PRT,Portugal,Europe & Central Asia,High income,0.773482753376958,0.670886260568819,0.9601730266700844,0.7702644180338383,0.6926073082350904,0.0598958333333331,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.34634146341470284,0.7602335616339096,-0.4138920982192068,0.25277957592080463,0.34634146341470284,effective converters,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
HRV,Croatia,Europe & Central Asia,High income,0.7692249571651889,0.5929113746534783,0.9152107996414532,0.7116733195238027,0.8571043348420216,0.0682291666666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.7000000000000028,0.655169701592414,0.04483029840758879,-0.027379560684126947,0.7000000000000028,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
AND,Andorra,Europe & Central Asia,High income,0.7685882923202738,0.5645719971529731,0.9776348192598014,0.7390831156505907,0.79306323721773,0.0791666666666666,0.1538461538461538,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,4.679999999999993,1.194896196231235,3.485103803768758,-2.128484852325137,4.679999999999993,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
ITA,Italy,Europe & Central Asia,High income,0.7638932900906541,0.6492379606677942,0.908578032959132,0.7573050759114517,0.7404520908242386,0.1109374999999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.3024390243902957,0.7802981556438213,0.5221408687464744,-0.31889119879440453,1.3024390243902957,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
URY,Uruguay,Latin America & Caribbean ,High income,0.7597407882153921,0.6041402553582664,0.9193650921392078,0.6871293162808386,0.828328489083256,0.1197916666666666,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,-0.8780000000000001,0.4946628232361532,-1.3726628232361533,0.8383371604164329,-0.8780000000000001,effective converters,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7555719842796018,0.4502722868091502,0.9729502025039536,0.729829034851629,0.8692364129536747,0.140625,0.0,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.7169999999999987,1.2072088908206562,-0.49020889082065744,0.29938913080825635,0.7169999999999987,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
BLR,Belarus,Europe & Central Asia,Upper middle income,0.751985191892442,0.6506495746089037,0.9549718293872288,0.6122043999499703,0.7901149636236653,0.0885416666666666,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,2.0882682926828977,1.1217685830535333,0.9664997096293644,-0.5902779680473594,2.0882682926828977,capacity under-realizers,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
