iso3,country,conversion_profile,capacity,equity_access,preparedness,vulnerability,weakest_bottleneck_block,weakest_bottleneck_gap,second_bottleneck_block,conversion_efficiency_zscore,realized_resilience_gap,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_profile_sample,missing_rate_from_profile_sample
MNE,Montenegro,uncertain / data-limited systems,0.16588410013281718,-0.014215736298646364,-0.18097717205214536,0.011470768655552077,preparedness,-0.18097717205214536,equity_access,-0.1155108656131252,185.64679793366489,0.2916666666666667,0.0,106,0,0.0
MDA,Moldova,uncertain / data-limited systems,0.18123896728802424,-0.042891321071304556,-0.04464740636204989,-0.0786594877507708,vulnerability,-0.0786594877507708,preparedness,-0.1113311654121229,178.92926573857585,0.2244791666666666,0.0,106,0,0.0
LVA,Latvia,uncertain / data-limited systems,-0.09411352003824014,-0.11714159123659507,-0.008898134825694681,-0.10621362572362258,equity_access,-0.11714159123659507,vulnerability,-0.0992728276026543,159.54934168686032,0.2815104166666666,0.0384615384615384,106,0,0.0
KAZ,Kazakhstan,capacity under-realizers,0.0630082680232183,0.09904643818530312,0.07926859836984379,-0.01413586197105543,vulnerability,-0.01413586197105543,capacity,-0.0986913164584361,158.61474837986862,0.1458333333333333,0.0,106,0,0.0
DZA,Algeria,structurally vulnerable systems,-0.09245185189785599,0.0130470072167721,-0.006994362425646106,0.07385241375072149,capacity,-0.09245185189785599,preparedness,-0.0257879676045457,41.44591580704992,0.1796875,0.0,106,0,0.0
OMN,Oman,uncertain / data-limited systems,-0.32491041625788114,0.14916763154254276,0.05945283222755515,0.015199680785667136,capacity,-0.32491041625788114,vulnerability,0.0141798561969248,-22.789586799007907,0.3088541666666666,0.0,106,0,0.0
ISR,Israel,effective converters,-0.06941623745206238,-0.017652878738658728,0.029774611466769962,-0.0010349246463426942,capacity,-0.06941623745206238,equity_access,0.0452100913801599,-72.66077225259141,0.0953124999999999,0.0769230769230769,106,0,0.0
SMR,San Marino,uncertain / data-limited systems,-0.0613193208660151,0.04355386712831466,-0.1024482920187626,-0.11169585945099281,vulnerability,-0.11169585945099281,preparedness,0.0624401117610778,-100.35252311144497,0.3283854166666666,0.2307692307692307,106,0,0.0
HUN,Hungary,capacity under-realizers,-0.0052153798994628575,-0.024401557832866128,0.0479521235816015,-0.09945937385758019,vulnerability,-0.09945937385758019,equity_access,0.0873593196737647,-140.40218537895635,0.140625,0.0769230769230769,106,0,0.0
AUT,Austria,capacity under-realizers,0.3162822041850828,-0.042885317106149956,-0.03892674149097486,0.04590520217485683,equity_access,-0.042885317106149956,preparedness,0.1233611947811609,-198.263693019986,0.0682291666666666,0.0769230769230769,106,0,0.0
SVN,Slovenia,capacity under-realizers,0.08058980933679771,0.0574321245187599,-0.002948205075053112,0.04607873707998267,preparedness,-0.002948205075053112,vulnerability,0.1540796570156834,-247.6338031045675,0.0992187499999999,0.0384615384615384,106,0,0.0
IRL,Ireland,effective converters,0.09686517767710612,-0.02735134088647495,-0.01289491441489532,0.10408527811712576,equity_access,-0.02735134088647495,preparedness,0.1787699417382001,-287.3155445102425,0.0523437499999999,0.0384615384615384,106,0,0.0
AZE,Azerbaijan,adaptive over-performers,0.0005387794982442129,-0.16848486130996576,-0.14976660252992968,0.0,equity_access,-0.16848486130996576,preparedness,0.213239025009891,-342.7135791724563,0.1528645833333333,0.0,106,0,0.0
ESP,Spain,capacity under-realizers,0.04758410091371423,-0.03994880499520359,0.018132607068314766,0.047086666433870494,equity_access,-0.03994880499520359,preparedness,0.2221367546696926,-357.0138357886085,0.09375,0.0384615384615384,106,0,0.0
