iso3,country,n_bootstrap,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_std,conversion_efficiency_ci_low,conversion_efficiency_ci_high,probability_under_realizer,probability_over_performer,probability_data_limited_uncertain,profile_stability_score
HRV,Croatia,1000,106,87,0.4507772020725389,-0.9529114896335646,0.13319729943184455,-1.1934538181288286,-0.6769519211148534,1.0,0.0,0.0,1.0
AND,Andorra,1000,106,87,0.4507772020725389,0.37442658525462036,0.12792523543924678,0.12543254829798936,0.6091428810306768,0.0,0.0,0.0,1.0
ITA,Italy,1000,106,87,0.4507772020725389,-0.19642227525311798,0.2080245928798219,-0.6186482455277947,0.20410914581697376,1.0,0.0,0.0,1.0
URY,Uruguay,1000,106,87,0.4507772020725389,0.44617713977643664,0.17689409388005387,0.08966002104794789,0.8118448927547628,0.007,0.0,0.0,0.993
BLR,Belarus,1000,106,87,0.4507772020725389,-2.848614481867367,0.2613313736435708,-3.2996350957636915,-2.277596488476511,1.0,0.0,0.0,1.0
QAT,Qatar,1000,106,87,0.4507772020725389,-0.4709419009312136,0.29666249337587414,-1.0797293387527245,0.049816271419943894,0.957,0.0,0.0,0.957
ISR,Israel,1000,106,87,0.4507772020725389,0.02079974349906136,0.16626938975870767,-0.3371463812403155,0.33122618470038434,0.437,0.0,0.0,0.563
MLT,Malta,1000,106,87,0.4507772020725389,0.61101325132166,0.25964653676952926,0.10673540253689423,1.1231754078076486,0.0,0.0,1.0,1.0
HUN,Hungary,1000,106,87,0.4507772020725389,0.0989963493547788,0.18289391777344666,-0.25420645632566846,0.43830688311717025,1.0,0.0,0.0,1.0
ARG,Argentina,1000,106,87,0.4507772020725389,-0.5543109990999727,0.18725154902570348,-0.9072124578462807,-0.16634887778149557,1.0,0.0,0.0,1.0
ARE,United Arab Emirates,1000,106,87,0.4507772020725389,-0.5770806161460453,0.2921290046610551,-1.1777890776274975,-0.02951422486020891,0.98,0.0,0.0,0.98
KWT,Kuwait,1000,106,87,0.4507772020725389,-0.7706806802311285,0.2120061551308371,-1.1877469843000141,-0.382017795683158,1.0,0.0,0.0,1.0
POL,Poland,1000,106,87,0.4507772020725389,-0.47072198532338916,0.09961126992390293,-0.6522103100583776,-0.2705078870414126,1.0,0.0,0.0,1.0
GRC,Greece,1000,106,87,0.4507772020725389,0.35536807362793615,0.18092268580964765,-0.001437293249553444,0.7035501756578589,0.0,0.0,1.0,1.0
OMN,Oman,1000,106,87,0.4507772020725389,0.012027047355808342,0.24162103187153194,-0.480061368166869,0.4244765480602202,0.0,0.0,1.0,1.0
CRI,Costa Rica,1000,106,87,0.4507772020725389,-0.13798262241894083,0.22890349976611493,-0.599227643027846,0.29746017244007944,0.0,0.0,1.0,1.0
BRN,Brunei Darussalam,1000,106,87,0.4507772020725389,-0.558370248067842,0.23857886174470225,-1.0317537527821892,-0.11880415737048172,0.0,0.0,1.0,1.0
