iso3,country,region,income_group,conversion_profile,profile_rule,potential_capacity_score,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,profile_n,profile_missing_rate_mean
BHS,"Bahamas, The",Latin America & Caribbean ,High income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6272271607997593,2630.4177,3164.1509405200522,-533.7332405200523,0.3320929275655985,0.07547169811320753,0.3548022405378866,0.8258192258773593,0.6158999980284617,0.7123871787553294,0.1721354166666666,0.0384615384615384,106,20,0.01730769230769229
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.5425743618946528,2760.5828,3286.391314642447,-525.8085146424469,0.3271621021699673,0.07547169811320753,0.1381242055350285,0.8197473484421942,0.6661923964367509,0.5462334971646373,0.0625,0.0,106,20,0.01730769230769229
PHL,Philippines,East Asia & Pacific,Lower middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.4762555295733501,2245.3413,2673.130806366826,-427.7895063668261,0.26617392128842715,-0.11320754716981135,0.1486166930851677,0.5385221702317291,0.575070341487582,0.6428129134889219,0.0625,0.0,106,20,0.01730769230769229
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,adaptive over-performers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.5727858513007176,3777.4768,4120.190379172456,-342.7135791724563,0.21323902500989103,0.09433962264150952,0.3472579615421797,0.7015549952002419,0.681467035750128,0.5608634127103203,0.1528645833333333,0.0,106,20,0.01730769230769229
EST,Estonia,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7282265704440525,3296.8997,4306.840884248152,-1009.9411842481522,0.6283931730001282,0.19811320754716988,0.5583626360146948,0.8684809203627931,0.7127758379727243,0.7732868874259978,0.0885416666666666,0.0384615384615384,106,23,0.04180602006688959
PRT,Portugal,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.773482753376958,2965.186,3702.310942615842,-737.124942615842,0.4586448090368129,0.12264150943396224,0.670886260568819,0.9601730266700844,0.7702644180338383,0.6926073082350904,0.0598958333333331,0.0384615384615384,106,23,0.04180602006688959
GBR,United Kingdom,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7855584803681768,2703.8333,3095.3774537333816,-391.5441537333818,0.2436217840916513,-0.037735849056603765,0.7043249696725941,0.9193555687134758,0.7163281258832328,0.8022252572034044,0.0593749999999998,0.0384615384615384,106,23,0.04180602006688959
ESP,Spain,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7786480255688792,2906.9697,3263.9835357886086,-357.0138357886085,0.22213675466969263,0.047169811320754707,0.6449209188532831,0.9550424082252345,0.7745812685503448,0.7400475066466544,0.09375,0.0384615384615384,106,23,0.04180602006688959
SVN,Slovenia,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.805722499678827,2868.0425,3115.6763031045675,-247.6338031045675,0.15407965701568344,-0.018867924528301883,0.6779266272763665,0.9339615960818666,0.773573339196457,0.8374284361606179,0.0992187499999999,0.0384615384615384,106,23,0.04180602006688959
AUT,Austria,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.830528220154409,2567.4924,2765.756093019986,-198.26369301998602,0.12336119478116096,-0.14150943396226412,0.9136190221246516,0.8979830596659448,0.7733998042913311,0.737110994535708,0.0682291666666666,0.0769230769230769,106,23,0.04180602006688959
