iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators,ghs_overall_2019,ghs_prevention_2019,ghs_detection_2019,ghs_response_2019,ghs_health_system_2019,ghs_compliance_2019,ghs_risk_environment_2019,ghs_overall_2019_scaled,ghs_prevention_2019_scaled,ghs_detection_2019_scaled,ghs_response_2019_scaled,ghs_health_system_2019_scaled,ghs_compliance_2019_scaled,ghs_risk_environment_2019_scaled,ghs_only_preparedness_score,preparedness_proxy_plus_ghs_score,n,coverage_count,missing_count,missing_rate,source_provenance
NLD,Netherlands,Europe & Central Asia,High income,0.7966718819180485,21,19.0,15.0,29.69999999999996,1.0,0.0,0.0765624999999998,0.7946422085942241,0.9332033521228416,0.6649056239430973,0.7939363430120309,1,0.0384615384615384,60,193,26,67.7,60.0,61.3,70.7,67.0,67.5,79.6,0.8542024013722127,0.7444168734491315,0.7367788461538461,0.8217821782178218,0.8890392422192152,0.7512953367875647,0.8656249999999999,0.8090199825999702,0.8711116673614059,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
MDV,Maldives,South Asia,Upper middle income,0.7861726319518041,22,23.5,1.0,40.14999999999999,1.0,0.0,0.2039062499999999,0.5428082750870333,0.9702682370087844,0.7980405859266773,0.8335734297847213,0,0.0,60,193,26,30.8,20.8,16.7,37.8,16.4,34.7,58.4,0.22126929674099488,0.2580645161290323,0.20072115384615383,0.27887788778877887,0.20433017591339644,0.18480138169257343,0.534375,0.26891991601584714,0.6195940765123158,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
GBR,United Kingdom,Europe & Central Asia,High income,0.7855584803681768,23,23.0,20.0,31.399999999999977,1.0,0.0,0.0593749999999998,0.7043249696725941,0.9193555687134758,0.7163281258832328,0.8022252572034044,1,0.0384615384615384,60,193,26,68.3,63.3,62.5,68.1,66.0,75.0,75.0,0.8644939965694681,0.7853598014888338,0.751201923076923,0.7788778877887788,0.8755074424898511,0.8808290155440414,0.79375,0.8185742952796994,0.8689649319965875,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
ESP,Spain,Europe & Central Asia,High income,0.7786480255688792,24,29.0,24.0,42.0,1.0,0.0,0.09375,0.6449209188532831,0.9550424082252345,0.7745812685503448,0.7400475066466544,1,0.0384615384615384,60,193,26,60.4,47.7,64.6,61.8,49.7,63.4,75.3,0.7289879931389365,0.5918114143920596,0.7764423076923076,0.6749174917491749,0.6549391069012179,0.6804835924006908,0.7984374999999999,0.7008599151820553,0.8279511617036448,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
SVK,Slovak Republic,Europe & Central Asia,High income,0.7754658787366955,25,29.0,15.0,33.099999999999994,1.0,0.0,0.0942708333333333,0.5938029528903954,0.962316136506726,0.7173988313513748,0.8283455941982859,1,0.0384615384615384,60,193,26,52.0,51.9,33.9,36.9,59.5,58.3,71.7,0.5849056603773585,0.6439205955334988,0.4074519230769231,0.264026402640264,0.7875507442489851,0.5924006908462865,0.7421875,0.5746347881033308,0.7684754623050284,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
PRT,Portugal,Europe & Central Asia,High income,0.773482753376958,26,26.0,25.0,36.49999999999997,1.0,0.0,0.0598958333333331,0.670886260568819,0.9601730266700844,0.7702644180338383,0.6926073082350904,1,0.0384615384615384,60,193,26,58.7,52.8,44.7,63.7,50.7,63.4,77.2,0.6998284734133791,0.6550868486352357,0.5372596153846154,0.7062706270627064,0.6684709066305818,0.6804835924006908,0.828125,0.6822178662181727,0.8211954464441286,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
HRV,Croatia,Europe & Central Asia,High income,0.7692249571651889,27,30.0,22.0,35.099999999999994,1.0,0.0,0.0682291666666666,0.5929113746534783,0.9152107996414532,0.7116733195238027,0.8571043348420216,1,0.0384615384615384,60,193,26,49.8,51.3,37.8,37.0,51.4,55.0,66.2,0.5471698113207547,0.6364764267990074,0.454326923076923,0.26567656765676567,0.6779431664411366,0.5354058721934369,0.65625,0.5390355382125749,0.7271231689270141,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
AND,Andorra,Europe & Central Asia,High income,0.7685882923202738,28,28.0,20.95,36.14999999999999,1.0,0.0,0.0791666666666666,0.5645719971529731,0.9776348192598014,0.7390831156505907,0.79306323721773,4,0.1538461538461538,60,193,26,30.5,19.0,2.2,33.4,15.5,33.0,79.9,0.2161234991423671,0.23573200992555832,0.026442307692307692,0.20627062706270627,0.19215155615696886,0.15544041450777202,0.8703125,0.2717818449268115,0.6247083320933065,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
ITA,Italy,Europe & Central Asia,High income,0.7638932900906541,29,30.0,25.95,47.24999999999999,0.95,0.0,0.1109374999999999,0.6492379606677942,0.908578032959132,0.7573050759114517,0.7404520908242386,1,0.0384615384615384,60,193,26,51.9,47.2,49.7,49.1,40.3,59.7,65.3,0.5831903945111492,0.5856079404466502,0.5973557692307693,0.46534653465346537,0.5277401894451962,0.616580310880829,0.6421874999999999,0.5740012341668655,0.7412896335629988,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
URY,Uruguay,Latin America & Caribbean ,High income,0.7597407882153921,30,36.0,31.0,54.0,0.9,0.0,0.1197916666666666,0.6041402553582664,0.9193650921392078,0.6871293162808386,0.828328489083256,2,0.0769230769230769,60,193,26,39.1,41.1,15.0,29.0,36.4,39.4,73.8,0.36363636363636365,0.5099255583126552,0.18028846153846154,0.13366336633663367,0.4749661705006766,0.2659758203799654,0.7749999999999999,0.3862079629578222,0.652786527548515,193,189,4,0.020725388601036232,official GHS raw CSV https://ghsindex.org/wp-content/uploads/2022/04/2021-GHS-Index-April-2022.csv; local file data/raw/ghs/ghs_index_2019.csv; parsed Year == 2019; verify license before publication
