iso3,country,potential_capacity_score,median_potential_capacity_rank,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,expected_burden_percentile,observed_burden_percentile,higher_efficiency_is_better,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
EGY,"Egypt, Arab Rep.",0.5749914738003827,126.0,2995.015,2595.8350728984283,399.1799271015716,-0.24837282101338848,-0.2830188679245283,0.33962264150943394,0.6226415094339622,True,0.0677083333333333,0.0,106,87,0.4507772020725389
LBN,Lebanon,0.6207577583141333,99.5,2354.6365,1869.6268118259516,485.0096881740485,-0.30177675852914415,-0.27358490566037735,0.2358490566037736,0.5094339622641509,True,0.1984374999999999,0.0384615384615384,106,87,0.4507772020725389
BRA,Brazil,0.6888440212001339,62.5,3766.584,3149.571639718035,617.0123602819649,-0.3839098364391619,-0.09433962264150941,0.6037735849056604,0.6981132075471698,True,0.14609375,0.0384615384615384,106,87,0.4507772020725389
TUN,Tunisia,0.6736728995848067,87.5,2412.1658,1690.619398121018,721.5464018789821,-0.4489517211649329,-0.34905660377358494,0.16981132075471697,0.5188679245283019,True,0.2041666666666667,0.0,106,87,0.4507772020725389
QAT,Qatar,0.746674096402051,48.5,519.23267,-208.1749471653402,727.4076171653402,-0.4525986143987932,-0.04716981132075472,0.018867924528301886,0.0660377358490566,True,0.1893229166666666,0.0,106,87,0.4507772020725389
CHL,Chile,0.6982007888708822,68.0,3120.594,2342.1399697564534,778.4540302435466,-0.48436008524956276,-0.38679245283018865,0.25471698113207547,0.6415094339622641,True,0.21875,0.0384615384615384,106,87,0.4507772020725389
POL,Poland,0.7355818926450353,43.0,4447.032,3667.629509298451,779.4024907015491,-0.48495022464180176,-0.0660377358490567,0.7264150943396226,0.7924528301886793,True,0.0520833333333333,0.0769230769230769,106,87,0.4507772020725389
SGP,Singapore,0.6846585060982541,66.5,972.30634,188.71146438190408,783.5948756180959,-0.4875587587834289,-0.11320754716981132,0.03773584905660377,0.1509433962264151,True,0.3541666666666667,0.0384615384615384,106,87,0.4507772020725389
ARE,United Arab Emirates,0.7371535222427504,41.5,607.97754,-283.9066378489033,891.8841778489033,-0.5549371955598688,-0.0660377358490566,0.009433962264150943,0.07547169811320754,True,0.1830729166666666,0.0384615384615384,106,87,0.4507772020725389
ARG,Argentina,0.7394775181902676,37.0,4112.5483,3211.275826774515,901.2724732254856,-0.5607786651550956,-0.10377358490566035,0.6320754716981132,0.7358490566037735,True,0.171875,0.0384615384615384,106,87,0.4507772020725389
BRN,Brunei Darussalam,0.7283637268047207,45.5,1141.6431,229.10230933067328,912.5407906693267,-0.5677898989411297,-0.15094339622641512,0.04716981132075472,0.19811320754716982,True,0.2921875,0.0769230769230769,106,87,0.4507772020725389
CZE,Czechia,0.8097716791500749,20.0,4400.776,3394.2052132099575,1006.5707867900423,-0.6262960857776176,-0.10377358490566047,0.6792452830188679,0.7830188679245284,True,0.03671875,0.0769230769230769,106,87,0.4507772020725389
PRY,Paraguay,0.6200103143941642,110.5,4178.656,3113.909273794001,1064.746726205999,-0.662493602753887,-0.19811320754716977,0.5471698113207547,0.7452830188679245,True,0.1216145833333333,0.0,106,87,0.4507772020725389
MDV,Maldives,0.7861726319518041,23.5,1109.1743,16.798199274564013,1092.376100725436,-0.67968481209664,-0.14150943396226415,0.02830188679245283,0.16981132075471697,True,0.2039062499999999,0.0,106,87,0.4507772020725389
NIC,Nicaragua,0.6740976553258002,83.5,2660.4993,1448.8451845324514,1211.6541154675485,-0.7539005103194539,-0.42452830188679247,0.12264150943396226,0.5471698113207547,True,0.29921875,0.1538461538461538,106,87,0.4507772020725389
KWT,Kuwait,0.7367604750619614,45.5,1601.9636,366.40982104372324,1235.5537789562768,-0.7687710647710952,-0.29245283018867924,0.05660377358490566,0.3490566037735849,True,0.1429687499999999,0.0384615384615384,106,87,0.4507772020725389
COL,Colombia,0.7101912345859036,61.0,3685.9177,2429.738410504582,1256.1792894954178,-0.781604416073713,-0.38679245283018865,0.29245283018867924,0.6792452830188679,True,0.2158854166666666,0.0,106,87,0.4507772020725389
ROU,Romania,0.7028341438153161,50.0,5864.2363,4361.324726500807,1502.9115734991929,-0.9351231409706718,-0.028301886792452824,0.8679245283018868,0.8962264150943396,True,0.0575520833333333,0.0384615384615384,106,87,0.4507772020725389
BIH,Bosnia and Herzegovina,0.6623497621693846,68.5,7126.2676,5583.958279612745,1542.309320387255,-0.9596367221199303,0.047169811320754707,0.9811320754716981,0.9339622641509434,True,0.125,0.0384615384615384,106,87,0.4507772020725389
HRV,Croatia,0.7692249571651889,30.0,5616.296,4035.7770592755655,1580.5189407244347,-0.9834110417905211,-0.1132075471698113,0.7735849056603774,0.8867924528301887,True,0.0682291666666666,0.0384615384615384,106,87,0.4507772020725389
GEO,Georgia,0.6532030764803352,83.5,6951.208,5343.492326576265,1607.7156734237342,-1.0003330580650351,0.037735849056603765,0.9622641509433962,0.9245283018867925,True,0.3041666666666665,0.0,106,87,0.4507772020725389
ALB,Albania,0.6696856726155633,83.5,5970.3384,4208.4156491874255,1761.9227508125741,-1.0962818877303866,-0.09433962264150941,0.8207547169811321,0.9150943396226415,True,0.0942708333333333,0.0384615384615384,106,87,0.4507772020725389
ECU,Ecuador,0.664199875526843,77.5,4378.3784,2532.8616682335974,1845.5167317664022,-1.1482947056593773,-0.45283018867924535,0.32075471698113206,0.7735849056603774,True,0.1432291666666666,0.0,106,87,0.4507772020725389
USA,United States,0.8057357451635478,9.0,3758.817,1804.0498317086053,1954.7671682913947,-1.2162711675864122,-0.48113207547169806,0.20754716981132076,0.6886792452830188,True,0.1007812499999998,0.0769230769230769,106,87,0.4507772020725389
BOL,Bolivia,0.566427958565157,126.0,5224.8447,3094.1509060260496,2130.69379397395,-1.325734067260284,-0.3207547169811321,0.5094339622641509,0.8301886792452831,True,0.0520833333333333,0.0,106,87,0.4507772020725389
PER,Peru,0.6056794177274751,118.0,5901.3433,3649.5150617570553,2251.828238242945,-1.4011048502138164,-0.18867924528301894,0.7169811320754716,0.9056603773584906,True,0.0992187499999999,0.0384615384615384,106,87,0.4507772020725389
