iso3,country,profile,profile_probability,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
KWT,Kuwait,capacity under-realizers,0.807,1000,106,87,0.4507772020725389
KWT,Kuwait,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
KWT,Kuwait,structurally vulnerable systems,0.193,1000,106,87,0.4507772020725389
KWT,Kuwait,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
POL,Poland,effective converters,0.0,1000,106,87,0.4507772020725389
POL,Poland,capacity under-realizers,0.864,1000,106,87,0.4507772020725389
POL,Poland,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
POL,Poland,structurally vulnerable systems,0.136,1000,106,87,0.4507772020725389
POL,Poland,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
GRC,Greece,effective converters,0.0,1000,106,87,0.4507772020725389
GRC,Greece,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
GRC,Greece,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
GRC,Greece,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
GRC,Greece,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
OMN,Oman,effective converters,0.0,1000,106,87,0.4507772020725389
OMN,Oman,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
OMN,Oman,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
OMN,Oman,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
OMN,Oman,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
CRI,Costa Rica,effective converters,0.0,1000,106,87,0.4507772020725389
CRI,Costa Rica,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
CRI,Costa Rica,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
CRI,Costa Rica,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
CRI,Costa Rica,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
BRN,Brunei Darussalam,effective converters,0.0,1000,106,87,0.4507772020725389
BRN,Brunei Darussalam,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
BRN,Brunei Darussalam,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
BRN,Brunei Darussalam,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
BRN,Brunei Darussalam,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
EST,Estonia,effective converters,0.0,1000,106,87,0.4507772020725389
EST,Estonia,capacity under-realizers,0.758,1000,106,87,0.4507772020725389
EST,Estonia,adaptive over-performers,0.242,1000,106,87,0.4507772020725389
EST,Estonia,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
EST,Estonia,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
KOR,"Korea, Rep.",effective converters,0.596,1000,106,87,0.4507772020725389
KOR,"Korea, Rep.",capacity under-realizers,0.072,1000,106,87,0.4507772020725389
KOR,"Korea, Rep.",adaptive over-performers,0.322,1000,106,87,0.4507772020725389
KOR,"Korea, Rep.",structurally vulnerable systems,0.01,1000,106,87,0.4507772020725389
KOR,"Korea, Rep.",uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
LTU,Lithuania,effective converters,0.0,1000,106,87,0.4507772020725389
LTU,Lithuania,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
LTU,Lithuania,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
LTU,Lithuania,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
LTU,Lithuania,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
ATG,Antigua and Barbuda,effective converters,0.0,1000,106,87,0.4507772020725389
ATG,Antigua and Barbuda,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
ATG,Antigua and Barbuda,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
ATG,Antigua and Barbuda,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
ATG,Antigua and Barbuda,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
COL,Colombia,effective converters,0.0,1000,106,87,0.4507772020725389
COL,Colombia,capacity under-realizers,0.582,1000,106,87,0.4507772020725389
COL,Colombia,adaptive over-performers,0.001,1000,106,87,0.4507772020725389
