iso3,country,region,income_group,population_total,gdp_per_capita_ppp,expanded_feature_missing_count,expanded_feature_missing_rate,capacity_score,capacity_rank,capacity_n_indicators,capacity_missing_rate,equity_access_score,equity_access_rank,equity_access_n_indicators,equity_access_missing_rate,preparedness_score,preparedness_rank,preparedness_n_indicators,preparedness_missing_rate,vulnerability_score,vulnerability_rank,vulnerability_n_indicators,vulnerability_missing_rate,full_potential_capacity_score,full_potential_capacity_rank,n_countries_in_expanded_sample,n_expanded_indicators
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3430551.8,15605.40206931382,1,0.0384615384615384,0.4938099285027721,56,6,0.0,0.7801659960520969,48,7,0.0,0.6856349836250097,139,4,0.25,0.6897881404976597,68,9,0.0,0.6623497621693846,80,193,26
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6740560.6,14035.530336413718,0,0.0,0.38391602520307216,74,6,0.0,0.7892293012863056,42,7,0.0,0.8404155544724616,106,4,0.0,0.6255679164991333,102,9,0.0,0.6597821993652432,81,193,26
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,4469275.6,6315.28157691552,1,0.0384615384615384,0.31768077069337347,95,6,0.0,0.7248432269987758,83,7,0.0,0.9877450980392157,5,4,0.25,0.6045379500737209,120,9,0.0,0.6587017614512714,82,193,26
BRB,Barbados,Latin America & Caribbean ,High income,280135.4,20819.758302245384,0,0.0,0.4376839484267321,63,6,0.0,0.7264932746148729,81,7,0.0,0.8694472408349976,93,4,0.0,0.5981394797313992,123,9,0.0,0.6579409859020005,83,193,26
THA,Thailand,East Asia & Pacific,Upper middle income,71091834.6,20087.005243579937,0,0.0,0.18057416433778925,133,6,0.0,0.9089062001738689,4,7,0.0,0.8457201250794135,102,4,0.0,0.6959196213257433,62,9,0.0,0.6577800277292037,84,193,26
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,176314.2,22212.241834272143,0,0.0,0.31199486760607426,97,6,0.0,0.7011033524897836,93,7,0.0,0.9066315423963224,78,4,0.0,0.7046030667039356,55,9,0.0,0.656083207299029,85,193,26
MDA,Moldova,Europe & Central Asia,Upper middle income,2753156.0,13140.80257311414,0,0.0,0.5279581493319597,48,6,0.0,0.6864569529489815,101,7,0.0,0.8066741913681217,117,4,0.0,0.6028075479993572,121,9,0.0,0.6559742104121051,86,193,26
PAN,Panama,Latin America & Caribbean ,High income,4098077.6,31704.675658196,1,0.0384615384615384,0.3766516033544161,77,6,0.0,0.6392187987530201,122,7,0.14285714285714285,0.8106900404600847,116,4,0.0,0.7907396443352344,10,9,0.0,0.6543250217256888,87,193,26
GEO,Georgia,Europe & Central Asia,Upper middle income,3725499.0,16406.59696036572,0,0.0,0.509239642509025,52,6,0.0,0.5811926135917094,136,7,0.0,0.887079208498833,88,4,0.0,0.6353008413217734,96,9,0.0,0.6532030764803352,88,193,26
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,1456402.2,54751.9597226545,0,0.0,0.22425109354931227,122,6,0.0,0.7793784404607978,50,7,0.0,0.989839380449274,3,4,0.0,0.6157753186314454,112,9,0.0,0.6523110582727074,89,193,26
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,1356674.6,35286.73364800155,1,0.0384615384615384,0.4104531585570775,69,6,0.0,0.6651139505099344,109,7,0.0,0.9077504764921545,77,4,0.25,0.6217329960273007,104,9,0.0,0.6512626453966167,90,193,26
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,6311272.0,5843.175490466997,0,0.0,0.3317152029949079,93,6,0.0,0.7201469829095438,85,7,0.0,0.8719689879667554,92,4,0.0,0.6767504291276911,81,9,0.0,0.6501454007497245,91,193,26
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,41671826.0,15344.298466146982,0,0.0,0.2542673301460795,112,6,0.0,0.7423952812370581,67,7,0.0,0.8443272353045255,103,4,0.0,0.7553194495008495,26,9,0.0,0.6490773240471281,92,193,26
DMA,Dominica,Latin America & Caribbean ,Upper middle income,68913.2,17019.15550917526,2,0.0769230769230769,0.34408062112982224,87,6,0.0,0.7412179510324783,68,7,0.14285714285714285,0.9032418160110531,80,4,0.0,0.6047602982406856,119,9,0.1111111111111111,0.6483251716035098,93,193,26
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,6208026.8,10083.170194325374,0,0.0,0.3694577590601324,78,6,0.0,0.740074674826369,71,7,0.0,0.8834736436967887,90,4,0.0,0.5989970298532373,122,9,0.0,0.6480007768591318,94,193,26
MNE,Montenegro,Europe & Central Asia,Upper middle income,625835.4,22725.49541780912,0,0.0,0.5126032821767527,51,6,0.0,0.7151325377216396,87,7,0.0,0.6703444256780262,140,4,0.0,0.6929378044056801,65,9,0.0,0.6477545124955246,95,193,26
LKA,Sri Lanka,South Asia,Lower middle income,21421000.0,14229.0298058969,0,0.0,0.1899266334096221,126,6,0.0,0.6796746792663276,105,7,0.0,0.9682850936923582,17,4,0.0,0.7529169738176473,28,9,0.0,0.6477008450464888,96,193,26
BLZ,Belize,Latin America & Caribbean ,Upper middle income,372059.0,11840.40562717836,0,0.0,0.18454815185632556,128,6,0.0,0.8081713454332043,30,7,0.0,0.8652466029814967,96,4,0.0,0.7259879734102914,40,9,0.0,0.6459885184203296,97,193,26
MYS,Malaysia,East Asia & Pacific,Upper middle income,32345938.0,29487.40371919812,1,0.0384615384615384,0.22913388274167337,119,6,0.0,0.7278790190615761,79,7,0.14285714285714285,0.9145985435053348,71,4,0.0,0.7111663135976891,49,9,0.0,0.6456944397265684,98,193,26
TJK,Tajikistan,Europe & Central Asia,Lower middle income,9086543.2,3330.73994297338,0,0.0,0.3499546768118913,83,6,0.0,0.5889345817032028,133,7,0.0,0.9214354407742822,59,4,0.0,0.6826989523373221,77,9,0.0,0.6357559129066745,99,193,26
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,1264615.0,24359.42389617005,2,0.0769230769230769,0.33303103087308933,92,6,0.0,0.6426057013073662,119,7,0.14285714285714285,0.9426166152682653,40,4,0.25,0.6202816841723293,106,9,0.0,0.6346337579052626,100,193,26
ARM,Armenia,Europe & Central Asia,Upper middle income,2981560.0,14360.40702048494,0,0.0,0.4732849256029421,58,6,0.0,0.5072855430166362,146,7,0.0,0.9163214042247854,67,4,0.0,0.6415149075582738,94,9,0.0,0.6346016951006593,101,193,26
MEX,Mexico,Latin America & Caribbean ,Upper middle income,123412081.4,21693.3346305822,0,0.0,0.2638600782104646,110,6,0.0,0.729348274020286,77,7,0.0,0.834289803866633,108,4,0.0,0.6905645268805292,66,9,0.0,0.6295156707444782,102,193,26
BHS,"Bahamas, The",Latin America & Caribbean ,High income,390255.6,32970.53262296664,1,0.0384615384615384,0.3548022405378866,82,6,0.0,0.7123871787553294,89,7,0.14285714285714285,0.8258192258773593,111,4,0.0,0.6158999980284617,110,9,0.0,0.6272271607997593,103,193,26
