iso3,country,conversion_profile,capacity,equity_access,preparedness,vulnerability,weakest_bottleneck_block,weakest_bottleneck_gap,second_bottleneck_block,conversion_efficiency_zscore,realized_resilience_gap,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_profile_sample,missing_rate_from_profile_sample,diagnostic_scope,diagnostic_note
BLR,Belarus,capacity under-realizers,0.30393039256496823,0.060766689603379276,0.10365023165705722,-0.06926263580015768,vulnerability,-0.06926263580015768,equity_access,-2.934826273506603,4716.795231999199,0.0885416666666666,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
POL,Poland,capacity under-realizers,-0.05660458436883331,-0.000283294121533495,-0.0007170307913012541,-0.04180505299301207,capacity,-0.05660458436883331,vulnerability,-0.4849502246418017,779.4024907015491,0.0520833333333333,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
CHL,Chile,capacity under-realizers,-0.16047450002949565,-0.09680006046113065,-0.017154010556601262,0.025494193675935528,capacity,-0.16047450002949565,equity_access,-0.4843600852495627,778.4540302435466,0.21875,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
QAT,Qatar,capacity under-realizers,-0.25440215663315513,0.17763916488771836,0.04050728413679716,-0.01878543963797763,capacity,-0.25440215663315513,vulnerability,-0.4525986143987932,727.4076171653402,0.1893229166666666,0.0,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
ITA,Italy,capacity under-realizers,0.051901142728225325,-0.039544220817619435,-0.02833176819778771,0.029810473794977366,equity_access,-0.039544220817619435,preparedness,-0.184799946246096,297.00684950111554,0.1109374999999999,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
KAZ,Kazakhstan,capacity under-realizers,0.0630082680232183,0.09904643818530312,0.07926859836984379,-0.01413586197105543,vulnerability,-0.01413586197105543,capacity,-0.0986913164584361,158.61474837986862,0.1458333333333333,0.0,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
HUN,Hungary,capacity under-realizers,-0.0052153798994628575,-0.024401557832866128,0.0479521235816015,-0.09945937385758019,vulnerability,-0.09945937385758019,equity_access,0.0873593196737647,-140.40218537895635,0.140625,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
AUT,Austria,capacity under-realizers,0.3162822041850828,-0.042885317106149956,-0.03892674149097486,0.04590520217485683,equity_access,-0.042885317106149956,preparedness,0.1233611947811609,-198.263693019986,0.0682291666666666,0.0769230769230769,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
SVN,Slovenia,capacity under-realizers,0.08058980933679771,0.0574321245187599,-0.002948205075053112,0.04607873707998267,preparedness,-0.002948205075053112,vulnerability,0.1540796570156834,-247.6338031045675,0.0992187499999999,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
ESP,Spain,capacity under-realizers,0.04758410091371423,-0.03994880499520359,0.018132607068314766,0.047086666433870494,equity_access,-0.03994880499520359,preparedness,0.2221367546696926,-357.0138357886085,0.09375,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
GBR,United Kingdom,capacity under-realizers,0.10698815173302523,0.02222894556154642,-0.017554232443443896,-0.011166476233241518,preparedness,-0.017554232443443896,vulnerability,0.2436217840916513,-391.5441537333818,0.0593749999999998,0.0384615384615384,106,0,0.0,capacity_under_realizers,Conversion bottleneck diagnostic only; no causal policy prescription.
