iso3,block,median_rank,mean_rank,rank_std,rank_p05,rank_p95,median_score,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,n_valid_pipelines,n_countries_in_sample,n_indicators,country,region,income_group,expanded_feature_missing_count,expanded_feature_missing_rate
IRQ,capacity,152.0,150.85,5.576214366993675,140.85,159.0,0.0829994564604549,0.0,0.8666666666666667,0.09453125000000002,60,193,6,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0.0
ISL,capacity,15.0,15.233333333333333,2.0604745947367453,13.0,19.049999999999997,0.46909333344244475,1.0,0.0,0.03151041666666665,60,193,6,Iceland,Europe & Central Asia,High income,1,0.0384615384615384
ISR,capacity,51.0,50.0,3.1144823004794873,44.0,54.05,0.300308825879151,0.38333333333333336,0.0,0.05234374999999999,60,193,6,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,2,0.0769230769230769
ITA,capacity,32.0,32.55,3.4323218574797636,27.0,39.0,0.36330578419184745,1.0,0.0,0.0625,60,193,6,Italy,Europe & Central Asia,High income,1,0.0384615384615384
JAM,capacity,121.0,121.86666666666666,2.452662951886287,119.0,128.0,0.13090279374360486,0.0,0.0,0.046875,60,193,6,Jamaica,Latin America & Caribbean ,Upper middle income,0,0.0
JOR,capacity,99.0,100.06666666666666,3.0158838763380054,96.95,106.0,0.1794302099530386,0.0,0.0,0.04713541666666665,60,193,6,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,0.0384615384615384
JPN,capacity,3.0,4.1,1.9122412679017955,2.0,7.049999999999997,0.5821904764075649,1.0,0.0,0.02630208333333332,60,193,6,Japan,East Asia & Pacific,High income,2,0.0769230769230769
KAZ,capacity,68.0,68.38333333333334,2.415861934980741,65.0,72.0,0.2406559218668981,0.0,0.0,0.036458333333333336,60,193,6,Kazakhstan,Europe & Central Asia,Upper middle income,0,0.0
KEN,capacity,164.5,163.61666666666667,3.478944603691694,158.0,168.05,0.06761042897417469,0.0,1.0,0.05234375000000006,60,193,6,Kenya,Sub-Saharan Africa ,Lower middle income,0,0.0
KGZ,capacity,93.0,93.23333333333333,3.8529930645610504,87.0,99.0,0.19503267453326717,0.0,0.0,0.0625,60,193,6,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0,0.0
KHM,capacity,174.5,174.03333333333333,3.5400878834037752,168.0,178.0,0.05492975094697017,0.0,1.0,0.052083333333333336,60,193,6,Cambodia,East Asia & Pacific,Lower middle income,0,0.0
KIR,capacity,72.0,76.21666666666667,10.761182813964066,62.95,93.34999999999998,0.22888203632313453,0.0,0.0,0.15833333333333321,60,193,6,Kiribati,East Asia & Pacific,Lower middle income,2,0.0769230769230769
KNA,capacity,67.0,67.23333333333333,1.3707256796634726,65.0,70.0,0.24328068224581928,0.0,0.0,0.026041666666666668,60,193,6,St. Kitts and Nevis,Latin America & Caribbean ,High income,2,0.0769230769230769
KOR,capacity,25.0,26.2,6.652818951391959,17.0,38.05,0.40544560935036084,1.0,0.0,0.10963541666666665,60,193,6,"Korea, Rep.",East Asia & Pacific,High income,2,0.0769230769230769
KWT,capacity,72.0,70.53333333333333,5.094005191289943,61.0,79.0,0.23536881439688573,0.0,0.0,0.09375,60,193,6,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,0.0384615384615384
LAO,capacity,180.0,178.85,2.8567172302020603,172.95,182.0,0.04535755470519996,0.0,1.0,0.04713541666666673,60,193,6,Lao PDR,East Asia & Pacific,Lower middle income,0,0.0
LBN,capacity,78.0,78.53333333333333,3.2683669044680745,72.95,84.0,0.21544960505886213,0.0,0.0,0.057552083333333316,60,193,6,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,0.0384615384615384
LBR,capacity,133.5,133.81666666666666,7.010686287534353,123.95,145.1,0.11194923187721598,0.0,0.08333333333333333,0.11015624999999996,60,193,6,Liberia,Sub-Saharan Africa ,Low income,0,0.0
LBY,capacity,76.0,75.93333333333334,1.6519348924485153,74.0,79.0,0.22615862781691723,0.0,0.0,0.026041666666666668,60,193,6,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0.0
LCA,capacity,82.0,84.05,8.474323965170711,74.95,101.0,0.2158320729983823,0.0,0.0,0.1356770833333333,60,193,6,St. Lucia,Latin America & Caribbean ,Upper middle income,0,0.0
LKA,capacity,126.0,126.6,3.0561413579872254,123.0,134.0,0.11793175973418184,0.0,0.0,0.057291666666666664,60,193,6,Sri Lanka,South Asia,Lower middle income,0,0.0
LSO,capacity,71.0,69.21666666666667,11.965355081326347,50.95,91.1,0.2345770662763581,0.016666666666666666,0.0,0.2091145833333333,60,193,6,Lesotho,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
LTU,capacity,31.0,31.066666666666666,3.1773503986113263,25.0,37.0,0.3712610696740637,1.0,0.0,0.0625,60,193,6,Lithuania,Europe & Central Asia,High income,1,0.0384615384615384
LUX,capacity,22.0,22.6,3.7022515671772855,17.95,29.049999999999997,0.4095739629858733,1.0,0.0,0.05781249999999999,60,193,6,Luxembourg,Europe & Central Asia,High income,1,0.0384615384615384
LVA,capacity,55.0,54.68333333333333,1.5109783438406903,53.0,57.0,0.284409919614138,0.0,0.0,0.020833333333333332,60,193,6,Latvia,Europe & Central Asia,High income,1,0.0384615384615384
MAR,capacity,151.0,150.13333333333333,4.652836649710464,143.0,157.0,0.08362481386783174,0.0,0.8166666666666667,0.07291666666666667,60,193,6,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,0.0384615384615384
MCO,capacity,6.5,12.383333333333333,13.425214668260947,1.0,49.05,0.5639238124471068,0.95,0.0,0.25026041666666665,60,193,6,Monaco,Europe & Central Asia,High income,5,0.1923076923076923
MDA,capacity,52.0,52.3,2.471841418861655,48.0,56.0,0.2983296127547851,0.1,0.0,0.041666666666666664,60,193,6,Moldova,Europe & Central Asia,Upper middle income,0,0.0
MDG,capacity,169.0,167.21666666666667,5.733212208022848,156.95,174.05,0.05889069861501219,0.0,1.0,0.08906250000000011,60,193,6,Madagascar,Sub-Saharan Africa ,Low income,1,0.0384615384615384
MDV,capacity,51.0,50.35,2.8915105625491555,43.95,54.0,0.30168943799322595,0.35,0.0,0.05234374999999999,60,193,6,Maldives,South Asia,Upper middle income,0,0.0
MEX,capacity,110.0,109.63333333333334,3.0164364553043197,103.0,115.0,0.15606778889941275,0.0,0.0,0.0625,60,193,6,Mexico,Latin America & Caribbean ,Upper middle income,0,0.0
MHL,capacity,48.5,43.21666666666667,16.613339686997183,14.0,65.24999999999999,0.32090944797014787,0.55,0.0,0.26692708333333326,60,193,6,Marshall Islands,East Asia & Pacific,Upper middle income,4,0.1538461538461538
MKD,capacity,60.0,59.63333333333333,1.2905640455070624,58.0,62.0,0.26928427488805046,0.0,0.0,0.020833333333333332,60,193,6,North Macedonia,Europe & Central Asia,Upper middle income,0,0.0
MLI,capacity,187.0,186.9,1.16476034731041,185.0,189.0,0.02900270010972885,0.0,1.0,0.020833333333333332,60,193,6,Mali,Sub-Saharan Africa ,Low income,0,0.0
MLT,capacity,25.0,24.933333333333334,3.108411527166604,19.0,30.0,0.39232461651264094,1.0,0.0,0.057291666666666664,60,193,6,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,0.0384615384615384
MMR,capacity,164.0,162.76666666666668,3.2112648944336906,157.9,166.0,0.06708937552661683,0.0,1.0,0.04218749999999997,60,193,6,Myanmar,East Asia & Pacific,Lower middle income,0,0.0
MNE,capacity,54.0,54.65,1.805777764104247,52.0,58.0,0.2875054995688474,0.016666666666666666,0.0,0.03125,60,193,6,Montenegro,Europe & Central Asia,Upper middle income,0,0.0
MNG,capacity,62.5,63.7,3.680126809409335,59.95,71.0,0.2553422806190949,0.0,0.0,0.057552083333333316,60,193,6,Mongolia,East Asia & Pacific,Upper middle income,0,0.0
MOZ,capacity,155.0,154.8,5.901412260354861,146.0,164.0,0.07980792772621756,0.0,0.9666666666666667,0.09375,60,193,6,Mozambique,Sub-Saharan Africa ,Low income,0,0.0
MRT,capacity,167.0,164.91666666666666,9.031964840990518,146.0,175.0,0.05808580758284913,0.0,1.0,0.15104166666666666,60,193,6,Mauritania,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
MUS,capacity,91.0,90.88333333333334,3.061000199644264,86.95,97.0,0.19492237083773847,0.0,0.0,0.05234374999999999,60,193,6,Mauritius,Sub-Saharan Africa ,Upper middle income,2,0.0769230769230769
MWI,capacity,146.0,146.28333333333333,6.570366977743497,137.0,156.14999999999998,0.08907268882507115,0.0,0.6333333333333333,0.09973958333333321,60,193,6,Malawi,Sub-Saharan Africa ,Low income,1,0.0384615384615384
MYS,capacity,117.5,116.46666666666667,3.716928241916375,108.95,122.0,0.14354853516638383,0.0,0.0,0.06796874999999998,60,193,6,Malaysia,East Asia & Pacific,Upper middle income,1,0.0384615384615384
